DVDD,5,6,100,12,14,37,,,,,,
12,1.00,0.75,0.00,0.75,0.50,0.00,,,,,,
13,0.50,0.00,0.00,1.00,0.75,0.00,,,,,,
14,0.00,0.00,1.00,0.50,0.00,0.50,,,,,,
15,0.00,0.00,0.00,0.75,1.00,0.00,,,,,,
26,0.75,0.75,0.00,0.50,0.50,0.00,,,,,,
30,0.00,0.00,0.00,0.75,1.00,0.00,,,,,,
