'2030',tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,proportion_agrofarmers_adapted,proportion_aquafarmers_adapted,dt_tsl_risk,dt_lua_caqrisk
2030,1234325.0,657800.0,85950.0,590950.0,78025.0,0.7999999999999999,0.7999999999999999,1625.0,2900.0
2030,1229650.0,661700.0,84925.0,590900.0,79300.0,0.8999999999999999,0.7999999999999999,1800.0,1275.0
2030,1327525.0,562375.0,91425.0,585625.0,78900.0,0.2,0.8999999999999999,1250.0,19000.0
2030,1293600.0,591700.0,91600.0,585950.0,78950.0,0.30000000000000004,0.8999999999999999,1100.0,14625.0
2030,1261200.0,614675.0,91550.0,586100.0,78775.0,0.4,0.8999999999999999,1025.0,6725.0
2030,1255850.0,629450.0,90750.0,587750.0,78825.0,0.5,0.8999999999999999,1350.0,7550.0
2030,1235675.0,645575.0,88925.0,585025.0,78200.0,0.6,0.8999999999999999,1225.0,5225.0
2030,1236100.0,639775.0,92775.0,583800.0,79425.0,0.7,0.8999999999999999,1050.0,4150.0
2030,1228500.0,656725.0,90125.0,582675.0,80625.0,0.7999999999999999,0.8999999999999999,1100.0,2725.0
2030,1220500.0,666625.0,90775.0,589100.0,77900.0,0.8999999999999999,0.8999999999999999,900.0,1250.0
