'2030',tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,proportion_ago_supported,proportion_aqua_supported,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2030,625700.0,795700.0,145325.0,629025.0,231100.0,1.0,1.0,30.0,400.0,28.0,180.0,0.0,0.0
2030,623525.0,793475.0,145250.0,626650.0,233450.0,1.0,1.0,30.0,400.0,28.0,200.0,0.0,0.0
