'2030',tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,proportion_agrofarmers_adapted,proportion_aquafarmers_adapted,dt_tsl_risk,dt_lua_caqrisk,budget_supported
2030,680725.0,730450.0,55875.0,759775.0,221725.0,535100.0,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0
2030,680725.0,730450.0,55875.0,759775.0,221725.0,535100.0,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0
2030,680725.0,730450.0,55875.0,759775.0,221725.0,535100.0,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0
2030,680725.0,730450.0,55875.0,759775.0,221725.0,535100.0,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0
2030,680725.0,730450.0,55875.0,759775.0,221725.0,535100.0,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0
2030,680725.0,730450.0,55875.0,759775.0,221725.0,535100.0,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0
2030,680725.0,730450.0,55875.0,759775.0,221725.0,535100.0,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0
2030,680725.0,730450.0,55875.0,759775.0,221725.0,535100.0,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0
2030,680725.0,730450.0,55875.0,759775.0,221725.0,535100.0,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0
2030,678675.0,723900.0,55825.0,751850.0,218400.0,541175.0,0.6,0.6,0.0,0.0,0.0
2030,676700.0,656875.0,55875.0,672250.0,217550.0,538700.0,0.6,0.6,0.0,0.0,0.0
2030,617450.0,725200.0,55800.0,750875.0,217750.0,486425.0,0.6,0.6,159900.0,204875.0,0.0
2030,673050.0,725225.0,52225.0,746825.0,219225.0,541925.0,0.6,0.6,161175.0,201650.0,0.0
2030,667725.0,724300.0,38975.0,758625.0,220150.0,543950.0,0.6,0.6,165525.0,199475.0,0.0
2030,662675.0,702350.0,44775.0,748200.0,221075.0,545050.0,0.6,0.6,147650.0,192500.0,0.0
2030,592475.0,727325.0,41175.0,769900.0,222250.0,547000.0,0.6,0.6,166350.0,193300.0,0.0
2030,655125.0,638450.0,37875.0,772725.0,222950.0,517350.0,0.6,0.6,164825.0,193300.0,0.0
2030,651675.0,673850.0,34450.0,776175.0,223600.0,549925.0,0.6,0.6,164650.0,187475.0,0.0
2030,647425.0,728825.0,31275.0,778525.0,224125.0,551500.0,0.6,0.6,166650.0,184600.0,0.0
2030,608275.0,730050.0,28200.0,784625.0,225225.0,551300.0,0.6,0.6,164975.0,191775.0,0.0
2030,641150.0,732200.0,25575.0,786850.0,225400.0,553950.0,0.6,0.6,168925.0,185200.0,0.0
2030,637575.0,731775.0,23300.0,780100.0,225950.0,555400.0,0.6,0.6,168500.0,182725.0,0.0
2030,633825.0,690050.0,21100.0,738925.0,226425.0,555825.0,0.6,0.6,167450.0,172550.0,0.0
2030,632800.0,733275.0,18875.0,794825.0,227100.0,557950.0,0.6,0.6,167225.0,178900.0,0.0
2030,628100.0,734025.0,16675.0,788800.0,227375.0,557950.0,0.6,0.6,167925.0,179725.0,0.0
2030,624550.0,735225.0,14400.0,799525.0,228125.0,560125.0,0.6,0.6,168800.0,178625.0,0.0
2030,622650.0,735350.0,12575.0,774150.0,228625.0,561675.0,0.6,0.6,169775.0,175650.0,0.0
2030,606725.0,710075.0,11550.0,804750.0,229600.0,562275.0,0.6,0.6,170475.0,176975.0,0.0
2030,591850.0,737175.0,10525.0,641525.0,230050.0,535325.0,0.6,0.6,169525.0,173725.0,0.0
2030,614525.0,736925.0,9525.0,796775.0,230050.0,562325.0,0.6,0.6,157200.0,153450.0,0.0
2030,613725.0,565250.0,8650.0,808375.0,231725.0,564825.0,0.6,0.6,170775.0,166550.0,0.0
2030,500150.0,737825.0,8100.0,806625.0,231950.0,565875.0,0.6,0.6,171025.0,169125.0,0.0
2030,609325.0,703800.0,7725.0,808750.0,233075.0,500825.0,0.6,0.6,0.0,0.0,0.0
2030,540750.0,638775.0,7425.0,811500.0,226625.0,568375.0,0.6,0.6,0.0,0.0,0.0
2030,579825.0,734825.0,7200.0,807825.0,233525.0,569300.0,0.6,0.6,0.0,0.0,0.0
2030,539250.0,738925.0,7175.0,695000.0,233525.0,570225.0,0.6,0.6,0.0,0.0,0.0
