'2030',tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,proportion_ago_supported,proportion_aqua_supported,dt_tsl_risk,dt_lua_caqrisk,budget_supported
2030,680100.0,725825.0,55850.0,755200.0,218375.0,542675.0,0.3,0.3,112150.0,61200.0,0.0
2030,678025.0,727225.0,55825.0,753500.0,219725.0,542650.0,0.6,0.3,111175.0,34000.0,0.0
2030,679425.0,724500.0,55825.0,753850.0,218675.0,543175.0,0.8999999999999999,0.3,110525.0,7750.0,0.0
2030,679900.0,725825.0,55825.0,755300.0,218725.0,541625.0,0.3,0.6,65300.0,59375.0,0.0
2030,680625.0,725075.0,55875.0,754200.0,218750.0,541500.0,0.6,0.6,64125.0,35825.0,0.0
2030,677950.0,725175.0,55850.0,755625.0,220200.0,541875.0,0.8999999999999999,0.6,63325.0,7625.0,0.0
2030,678875.0,727475.0,55850.0,755475.0,219000.0,541725.0,0.3,0.8999999999999999,16475.0,59300.0,0.0
2030,676450.0,728075.0,55775.0,751400.0,218375.0,540725.0,0.6,0.8999999999999999,16300.0,34275.0,0.0
2030,681400.0,728300.0,55850.0,754725.0,218600.0,539500.0,0.8999999999999999,0.8999999999999999,15975.0,8850.0,0.0
