'2030',tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,proportion_ago_supported,proportion_aqua_supported,dt_tsl_risk,dt_lua_caqrisk,budget_supported,total_income_lost
2030,508175.0,910700.0,163875.0,612000.0,230850.0,555100.0,0.3,0.3,21175.0,50.0,10197.0,162668.0
2030,507675.0,903675.0,166000.0,606575.0,231550.0,547100.0,0.6,0.3,20500.0,0.0,10622.0,157440.0
2030,506875.0,911925.0,166400.0,608950.0,231775.0,554775.0,0.8999999999999999,0.3,20725.0,0.0,11096.0,159168.0
2030,509875.0,910175.0,195725.0,577350.0,231100.0,553500.0,0.3,0.6,8900.0,0.0,15946.0,68352.0
2030,498175.0,912200.0,195050.0,579100.0,231325.0,553825.0,0.6,0.6,8050.0,25.0,16252.0,61846.0
2030,505950.0,914425.0,195475.0,578800.0,232000.0,553600.0,0.8999999999999999,0.6,8125.0,0.0,16705.0,62400.0
2030,509775.0,912300.0,207025.0,566375.0,231250.0,552700.0,0.3,0.8999999999999999,1800.0,50.0,20318.0,13868.0
2030,507975.0,911050.0,208425.0,565775.0,231175.0,554625.0,0.6,0.8999999999999999,1875.0,0.0,20951.0,14400.0
2030,507250.0,914900.0,209250.0,563700.0,231725.0,552200.0,0.8999999999999999,0.8999999999999999,1925.0,0.0,21463.0,14784.0
