'year','tong_luc','total_2rice_luk','total_rice_shrimp','tong_tsl','tong_bhk','total_fruit_tree_lnk','climate_maxTAS_shrimp','climate_maxPR_thuysan','climate_maxTAS_caytrong','climate_minPR_caytrong','area_shrimp_tsl_risk','area_rice_fruit_tree_risk'
year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868875.0,795750.0,172200.0,579800.0,110575.0,471050.0,37.0,400.0,36.0,200.0,0.0,750.0
2016,848950.0,813550.0,151725.0,602000.0,111425.0,470600.0,37.0,400.0,36.0,200.0,0.0,1150.0
2017,839100.0,821950.0,135775.0,618625.0,112075.0,470725.0,37.0,400.0,36.0,200.0,225.0,49200.0
2018,833475.0,826400.0,121775.0,632875.0,112875.0,470850.0,37.0,400.0,36.0,200.0,0.0,42025.0
2019,830050.0,828950.0,110900.0,643825.0,113575.0,470950.0,37.0,400.0,36.0,200.0,126250.0,66075.0
2020,793800.0,863975.0,102600.0,652650.0,123900.0,461325.0,37.0,400.0,36.0,200.0,156175.0,68950.0
2021,790450.0,867525.0,95375.0,659975.0,126700.0,458225.0,37.0,400.0,36.0,200.0,147500.0,68200.0
2022,787275.0,870300.0,89000.0,666425.0,128025.0,457225.0,37.0,400.0,36.0,200.0,75.0,57350.0
2023,784800.0,872450.0,83775.0,671675.0,128575.0,456975.0,37.0,400.0,36.0,200.0,75.0,35400.0
2024,782650.0,874200.0,79400.0,676075.0,128875.0,457050.0,37.0,400.0,36.0,200.0,525.0,51000.0
2025,780750.0,875775.0,75600.0,679875.0,128975.0,457275.0,37.0,400.0,36.0,200.0,125.0,24100.0
2026,778875.0,877400.0,72650.0,682825.0,129025.0,457475.0,37.0,400.0,36.0,200.0,0.0,21250.0
2027,777125.0,878975.0,70225.0,685250.0,129200.0,457475.0,37.0,400.0,36.0,200.0,5475.0,65475.0
2028,775450.0,880350.0,67900.0,687575.0,129425.0,457550.0,37.0,400.0,36.0,200.0,149375.0,63875.0
2029,774125.0,881475.0,65650.0,689825.0,129500.0,457675.0,37.0,400.0,36.0,200.0,425.0,49925.0
2030,765525.0,911175.0,64175.0,707400.0,112425.0,437550.0,37.0,400.0,36.0,200.0,250.0,54600.0
2031,758450.0,918050.0,61675.0,710350.0,112300.0,437425.0,37.0,400.0,36.0,200.0,1950.0,19650.0
2032,754675.0,921725.0,59325.0,712875.0,112275.0,437375.0,37.0,400.0,36.0,200.0,133425.0,54650.0
2033,752325.0,923825.0,57200.0,715125.0,112375.0,437400.0,37.0,400.0,36.0,200.0,0.0,47000.0
2034,750925.0,924975.0,55075.0,717275.0,112425.0,437575.0,37.0,400.0,36.0,200.0,450.0,14575.0
2035,750000.0,925850.0,53025.0,719325.0,112425.0,437625.0,37.0,400.0,36.0,200.0,175.0,54150.0
2036,749075.0,926800.0,50925.0,721425.0,112475.0,437550.0,37.0,400.0,36.0,200.0,4375.0,44775.0
2037,748225.0,927550.0,49450.0,722900.0,112550.0,437575.0,37.0,400.0,36.0,200.0,3575.0,61625.0
2038,747450.0,928275.0,48175.0,724175.0,112600.0,437575.0,37.0,400.0,36.0,200.0,100.0,59300.0
2039,746925.0,928700.0,46925.0,725425.0,112625.0,437650.0,37.0,400.0,36.0,200.0,171975.0,60650.0
2040,667925.0,1037550.0,45650.0,733475.0,87275.0,426375.0,37.0,400.0,36.0,200.0,3525.0,53500.0
2041,615550.0,1091800.0,44425.0,735075.0,86700.0,424700.0,37.0,400.0,36.0,200.0,149775.0,51775.0
2042,589075.0,1118650.0,43400.0,736150.0,86675.0,424300.0,37.0,400.0,36.0,200.0,6725.0,50750.0
2043,582125.0,1125575.0,42725.0,736850.0,86650.0,424325.0,37.0,400.0,36.0,200.0,179625.0,49725.0
2044,579300.0,1128275.0,42100.0,737475.0,86800.0,424300.0,37.0,400.0,36.0,200.0,147400.0,47475.0
2045,576750.0,1130550.0,41400.0,738175.0,87025.0,424350.0,37.0,400.0,36.0,200.0,4500.0,45675.0
2046,574850.0,1132350.0,40750.0,738825.0,87150.0,424325.0,37.0,400.0,36.0,200.0,100400.0,46350.0
2047,573050.0,1133950.0,40175.0,739400.0,87350.0,424325.0,37.0,400.0,36.0,200.0,176400.0,46825.0
2048,571550.0,1135450.0,39550.0,740025.0,87425.0,424250.0,37.0,400.0,36.0,200.0,169825.0,45575.0
2049,570250.0,1136625.0,38925.0,740650.0,87450.0,424350.0,37.0,400.0,36.0,200.0,42675.0,45825.0
2050,544750.0,1164975.0,38250.0,743975.0,83475.0,422825.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,526975.0,1183050.0,37575.0,744725.0,83275.0,422650.0,37.0,400.0,36.0,200.0,0.0,0.0
