'year','tong_luc','total_2rice_luk','total_rice_shrimp','tong_tsl','tong_bhk','total_fruit_tree_lnk','climate_maxTAS_shrimp','climate_maxPR_thuysan','climate_maxTAS_caytrong','climate_minPR_caytrong','area_shrimp_tsl_risk','area_rice_fruit_tree_risk'
year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,881400.0,747625.0,144925.0,636000.0,97150.0,491150.0,37.0,400.0,36.0,200.0,0.0,975.0
2016,845500.0,769225.0,109725.0,680350.0,96925.0,496525.0,37.0,400.0,36.0,200.0,0.0,975.0
2017,820450.0,780050.0,80650.0,713950.0,96950.0,506200.0,37.0,400.0,36.0,200.0,225.0,47900.0
2018,804100.0,782825.0,58500.0,737975.0,96775.0,518075.0,37.0,400.0,36.0,200.0,0.0,41175.0
2019,792125.0,782450.0,42300.0,755375.0,96025.0,529975.0,37.0,400.0,36.0,200.0,145700.0,65900.0
2020,780800.0,780525.0,29475.0,768750.0,94700.0,544000.0,37.0,400.0,36.0,200.0,180500.0,73950.0
2021,771625.0,778150.0,20050.0,778475.0,93200.0,556750.0,37.0,400.0,36.0,200.0,174700.0,74025.0
2022,762525.0,775800.0,14125.0,784600.0,91925.0,569275.0,37.0,400.0,36.0,200.0,150.0,61300.0
2023,754400.0,772625.0,10650.0,788200.0,90675.0,581700.0,37.0,400.0,36.0,200.0,100.0,40525.0
2024,746975.0,769250.0,8300.0,790750.0,89450.0,593525.0,37.0,400.0,36.0,200.0,575.0,55800.0
2025,740625.0,765800.0,6675.0,792525.0,88225.0,604400.0,37.0,400.0,36.0,200.0,125.0,26275.0
2026,734475.0,762525.0,5350.0,793950.0,87125.0,614825.0,37.0,400.0,36.0,200.0,0.0,27575.0
2027,727825.0,758675.0,4275.0,795075.0,85850.0,626550.0,37.0,400.0,36.0,200.0,5825.0,71900.0
2028,721175.0,754975.0,3300.0,796100.0,85175.0,637525.0,37.0,400.0,36.0,200.0,178875.0,71650.0
2029,715000.0,751775.0,2375.0,797050.0,84300.0,647750.0,37.0,400.0,36.0,200.0,600.0,56225.0
2030,709125.0,747875.0,1700.0,797750.0,83300.0,658500.0,37.0,400.0,36.0,200.0,275.0,59150.0
2031,703375.0,744350.0,1300.0,798175.0,82250.0,668800.0,37.0,400.0,36.0,200.0,3150.0,19950.0
2032,698650.0,740775.0,975.0,798500.0,81175.0,678175.0,37.0,400.0,36.0,200.0,149250.0,62650.0
2033,693875.0,737425.0,675.0,798800.0,80075.0,687400.0,37.0,400.0,36.0,200.0,0.0,53550.0
2034,688600.0,734100.0,400.0,799075.0,79350.0,696725.0,37.0,400.0,36.0,200.0,350.0,12925.0
2035,683775.0,730775.0,200.0,799275.0,78525.0,705700.0,37.0,400.0,36.0,200.0,275.0,64650.0
2036,679275.0,727800.0,50.0,799425.0,77525.0,714175.0,37.0,400.0,36.0,200.0,6325.0,51850.0
2037,674825.0,723775.0,0.0,799475.0,76875.0,723300.0,37.0,400.0,36.0,200.0,5550.0,69625.0
2038,670200.0,720575.0,0.0,799475.0,76200.0,731800.0,37.0,400.0,36.0,200.0,150.0,67725.0
2039,666450.0,717425.0,0.0,799475.0,75525.0,739375.0,37.0,400.0,36.0,200.0,209000.0,67550.0
2040,662800.0,714325.0,0.0,799475.0,74950.0,746700.0,37.0,400.0,36.0,200.0,11375.0,67950.0
2041,659100.0,711500.0,0.0,799475.0,74200.0,753975.0,37.0,400.0,36.0,200.0,177575.0,66925.0
2042,655475.0,708250.0,0.0,799475.0,73275.0,761775.0,37.0,400.0,36.0,200.0,12825.0,67025.0
2043,652150.0,705450.0,0.0,799475.0,72500.0,768675.0,37.0,400.0,36.0,200.0,219750.0,67825.0
2044,649375.0,703050.0,0.0,799475.0,71700.0,774650.0,37.0,400.0,36.0,200.0,177850.0,65450.0
2045,646625.0,700750.0,0.0,799475.0,71275.0,780125.0,37.0,400.0,36.0,200.0,5725.0,65175.0
2046,643875.0,697825.0,0.0,799475.0,71000.0,786075.0,37.0,400.0,36.0,200.0,115275.0,65275.0
2047,641100.0,695200.0,0.0,799475.0,70450.0,792025.0,37.0,400.0,36.0,200.0,219800.0,66900.0
2048,638675.0,692425.0,0.0,799475.0,69850.0,797825.0,37.0,400.0,36.0,200.0,211525.0,67975.0
2049,636250.0,689850.0,0.0,799475.0,69475.0,803200.0,37.0,400.0,36.0,200.0,66900.0,66050.0
2050,633750.0,687175.0,0.0,799475.0,69000.0,808850.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,631200.0,684450.0,0.0,799475.0,68350.0,814775.0,37.0,400.0,36.0,200.0,0.0,0.0
