id;the_geom;Ten_thv;dtich_thv;tcdt_thv;gchu
SONG_TN106_region.1;MULTIPOLYGON (((602874.493768978 1091006.5387840515, 602880.513235314 1090965.8570646974, 602883.8115730325 1090939.4224453873, 602880.513235314 1090914.6174943633, 602878.8558206107 1090876.605231649, 602887.1099107509 1090840.2426331504, 602906.9329204384 1090795.6217156088, 602919.318178571 1090749.3411358865, 602925.9313456963 1090610.5193926496, 602907.7822424009 1090501.431597154, 602906.1248276974 1090446.8827004237, 602894.5559081502 1090435.3150549843, 602879.6886508845 1090446.8827004237, 602882.1706500176 1090478.2963062753, 602898.6788302981 1090630.3453571321, 602897.0131697503 1090734.474162016, 602888.7590796101 1090782.414403919, 602863.9885633449 1090828.6749877112, 602854.0853043455 1090879.9245560102, 602862.3393944858 1090984.053360894, 602853.9698625254 1090998.0105199548, 602874.493768978 1091006.5387840515)));Kinh C¸i Tr©m;0.0138844;;
SONG_TN106_region.2;MULTIPOLYGON (((598999.2602919554 1095943.9837814458, 598923.4067702767 1095939.0447867638, 598924.5446967896 1095939.4447053615, 598923.4067702767 1095939.0447867638, 598851.5689747703 1095912.9001084373, 598830.0143377807 1095886.3355155832, 598818.4041890119 1095853.1422719716, 598801.8217961327 1095800.033082193, 598778.5932527509 1095665.5904476012, 598752.0663716508 1095607.4822753512, 598718.0687556185 1095561.00173633, 598678.2660652018 1095521.1698439962, 598655.0457676644 1095478.0086293363, 598633.6725392493 1095402.9239126125, 598624.5856188351 1095379.55866854, 598615.4986984209 1095356.1734285378, 598607.7063755613 1095332.8081844656, 598596.0137683495 1095296.4555839319, 598580.4373684744 1095266.5916626465, 598579.1427709201 1095251.014833265, 598576.5453299668 1095236.727741361, 598579.1427709201 1095189.9772572864, 598599.9140527016 1095154.9343901603, 598603.8060912093 1095147.1459754696, 598611.9200019964 1095139.3975526385, 598615.2430772478 1095099.5756582697, 598638.4633747853 1095063.0530923319, 598674.9429899505 1095046.4464725612, 598724.7066602767 1095009.9339045885, 598755.7192806739 1094969.2621831994, 598747.9434495028 1094951.0758849676, 598731.0477145404 1094921.2219616473, 598720.6661965718 1094899.1564530174, 598715.4713146653 1094899.1464550525, 598707.6789918056 1094888.7585694764, 598702.4923557434 1094888.7585694764, 598693.397189485 1094875.7812109801, 598676.5097003669 1094856.2951773058, 598668.7256233514 1094836.8191415963, 598672.6259077034 1094790.0786554867, 598676.5179462112 1094766.7034134495, 598683.007425672 1094735.5597526513, 598697.2974738369 1094710.8947731361, 598706.3843942512 1094703.0863625156, 598719.363353173 1094687.529529064, 598746.6323602598 1094652.456668043, 598760.9224084247 1094629.0914239706, 598766.1090444869 1094618.6935404297, 598773.8931215022 1094582.340939896, 598773.8931215022 1094558.9756958238, 598777.7934058543 1094531.7112454234, 598826.6995083736 1094470.483708111, 598876.4466870112 1094410.7258716454, 598902.9900598 1094341.020060061, 598926.2186031817 1094294.529523075, 598929.5251867444 1094274.623574873, 598922.8955279305 1094261.3462774283, 598912.9345480208 1094261.3462774283, 598909.6279644582 1094274.623574873, 598873.1318576043 1094350.9780331445, 598853.2263894738 1094397.4485742007, 598830.0060919363 1094437.2904644995, 598803.4792108361 1094473.8030324723, 598770.3061792335 1094497.0582989303, 598740.456222882 1094510.315600445, 598707.2914371237 1094503.6769517227, 598667.4805008627 1094480.4416811946, 598621.0481516322 1094457.1964127016, 598598.6112093028 1094430.4318605484, 598567.4584095526 1094397.9784663427, 598558.3549974499 1094382.391638996, 598564.654822492 1094294.53952104, 598567.9778977432 1094175.0238481085, 598558.8497481076 1094155.1079019415, 598538.9442799771 1094141.8306044969, 598500.799004264 1094131.8726314134, 598462.6537285509 1094113.626345392, 598436.1186016065 1094077.1037794542, 598419.5362087272 1094015.686280808, 598396.3159111898 1093896.1706078765, 598404.6112305515 1093848.0404046397, 598417.8705481794 1093811.517838702, 598459.3388991439 1093778.3245950905, 598488.3642710657 1093741.8020291529, 598514.8993980101 1093703.6198010347, 598533.1556972814 1093678.724868326, 598561.339993085 1093652.1702734367, 598592.8473641399 1093613.9980432836, 598612.7528322703 1093545.9418959147, 598621.0399057878 1093507.7596677965, 598640.937128074 1093486.184059449, 598664.1656714558 1093459.62946456, 598690.7090442445 1093418.1379100455, 598725.5312447064 1093345.0827802052, 598818.4041890119 1093199.0225103493, 598796.2640970772 1093187.464862875, 598710.3506453575 1093322.917291926, 598665.674660962 1093400.7514490092, 598647.484328445 1093442.1430238741, 598621.0069224107 1093470.2972931543, 598596.1951769241 1093500.091228685, 598568.0603561862 1093601.1006685067, 598548.2208548101 1093629.244939822, 598523.392617635 1093654.079884741, 598498.5726263041 1093680.5644938755, 598472.103466114 1093721.9660667055, 598445.634305924 1093758.3786550288, 598407.579734498 1093786.532924309, 598385.2334964559 1093821.3058463815, 598370.4569434776 1093877.5344012224, 598368.6923327983 1093884.2430356992, 598370.3497475018 1093937.2322498984, 598416.6749007566 1094084.582257232, 598446.4588903536 1094130.9428206738, 598476.226388262 1094144.1901242235, 598519.2614496427 1094164.0660785306, 598534.1451985969 1094183.932034873, 598544.0567034406 1094210.4366399373, 598534.986274715 1094361.6258658092, 598532.3970796062 1094403.1674101483, 598537.5837156683 1094420.0439749723, 598547.9734794813 1094433.0313314337, 598562.2552818019 1094446.018687895, 598585.6322503809 1094461.5955172766, 598647.4760826008 1094493.589005095, 598740.1428807988 1094555.0764894958, 598745.3460085496 1094571.95305432, 598745.3377627053 1094590.1393525517, 598741.4374783533 1094616.1140654744, 598732.3588037834 1094631.680896891, 598714.1684712665 1094653.7564034855, 598683.007425672 1094683.630322736, 598673.9452427907 1094690.6089022665, 598644.0540572179 1094764.113940529, 598641.4648621089 1094782.2902407958, 598634.9671368038 1094814.7536329667, 598638.8674211557 1094835.5194061538, 598641.4648621089 1094848.506762615, 598647.9543415699 1094862.7938545188, 598657.041261984 1094878.3706839005, 598667.4310257969 1094890.0583049192, 598675.2233486567 1094904.345396823, 598684.3102690708 1094914.733282399, 598693.397189485 1094926.4109054527, 598701.1812665004 1094936.7987910288, 598711.5792761575 1094954.9850892604, 598714.1767171108 1094974.451127005, 598703.7787074536 1094986.1487459885, 598699.8866689459 1094995.2368961219, 598692.1438211519 1095003.5552029547, 598635.8906713648 1095041.6374514236, 598606.3952863181 1095082.2191911282, 598596.0137683495 1095106.884170643, 598580.4373684744 1095128.9696752029, 598571.3504480603 1095148.4357129473, 598564.852722755 1095157.5338610455, 598558.3632432942 1095176.9998987901, 598553.1683613877 1095195.1861970217, 598553.176607232 1095213.3524993237, 598549.2763228801 1095228.9393266703, 598550.5709204344 1095244.5261540166, 598554.4712047864 1095260.0929854333, 598558.3632432942 1095275.6798127799, 598560.9606842474 1095291.2666401265, 598566.1638119982 1095306.843469508, 598568.7530071071 1095322.4202988895, 598575.242486568 1095352.284220175, 598594.719170795 1095386.0473477882, 598606.4035321625 1095404.23364602, 598614.1876091779 1095412.0120627459, 598648.2841753417 1095495.3351025828, 598642.0008419881 1095515.4909999084, 598662.1784229805 1095565.910737117, 598663.2503827389 1095566.630590593, 598688.2023075785 1095583.407175768, 598707.6789918056 1095604.18294692, 598723.263637525 1095623.6589826294, 598737.5371940013 1095644.4147578515, 598745.3460085496 1095665.2105249334, 598750.5243987675 1095685.9762981206, 598755.7275265182 1095706.7520692726, 598778.7581696368 1095778.8573924433, 598785.3548450737 1095823.4883079499, 598786.8885721127 1095828.7972273347, 598792.0834540192 1095857.3614131776, 598797.2700900813 1095872.9282445943, 598797.261844237 1095888.5150719406, 598799.8675310345 1095904.1018992872, 598801.162128589 1095910.5805805705, 598806.3652563398 1095914.4797868982, 598811.5436465576 1095924.8776704392, 598827.1365381213 1095940.4644977858, 598836.2234585355 1095949.5526479192, 598840.1154970431 1095959.9305355302, 598914.1714246653 1095990.424328607, 598967.0190407581 1095990.4143306422, 599001.115606922 1095997.5928694715, 599019.2894477503 1096004.0715507546, 599037.4797802672 1096011.8699634103, 599055.6453752512 1096017.058907216, 599073.8274619238 1096024.8473219068, 599092.0013027522 1096030.0562616421, 599110.1833894248 1096036.5349429254, 599128.3654760974 1096043.0336201384, 599158.2319241374 1096061.2099204052, 599173.8165698568 1096075.4970123093, 599199.1313118454 1096100.8818453, 599233.5412200924 1096127.4264422243, 599256.901696983 1096144.3030070486, 599273.7809402568 1096157.29036351, 599291.9630269294 1096171.5774554138, 599304.9419858513 1096187.1442868304, 599316.634593063 1096205.330585062, 599316.634593063 1096206.6203225397, 599321.8129832809 1096218.3179415234, 599325.7215134772 1096249.4716002864, 599325.7215134772 1096267.6479005532, 599327.0161110316 1096285.8242008202, 599373.2917892205 1096373.8862760402, 599402.3254069868 1096428.6551279991, 599437.3784910889 1096467.617197383, 599456.855175316 1096480.5945558795, 599473.7344185899 1096500.060593624, 599475.0372619886 1096503.9697979167, 599478.9375463405 1096510.4584771649, 599482.821339004 1096514.3476855278, 599491.9082594181 1096548.100815176, 599499.7170739664 1096571.4760572135, 599505.8025070569 1096587.1528662443, 599590.5285571979 1096566.597050321, 599575.009878233 1096561.0981696022, 599556.8442832489 1096544.2116068131, 599538.653950732 1096528.6247794668, 599530.8616278723 1096519.5366293334, 599526.9695893646 1096514.3476855278, 599499.7005822778 1096483.1840287996, 599477.6347029418 1096455.9295763643, 599467.2449391289 1096444.231957381, 599456.855175316 1096433.83407384, 599441.2705295966 1096414.3680360953, 599436.0838935344 1096406.5796214046, 599430.8972574723 1096398.781208749, 599425.6941297215 1096390.992794058, 599410.1177298464 1096372.8264917561, 599403.6282503855 1096363.7383416228, 599398.433368479 1096354.6401935245, 599393.2384865725 1096348.1515142762, 599353.4440420002 1096231.5452491431, 599337.3976290002 1096183.2550784673, 599321.8212291251 1096150.7816883319, 599312.734308711 1096140.4038007206, 599302.3527907424 1096130.0159151447, 599291.9547810851 1096120.9377629762, 599280.2704197178 1096111.839614878, 599268.5943041947 1096104.051200187, 599227.901062594 1096079.216255268, 599206.4783591131 1096064.619226451, 599195.8824491928 1096054.7012452271, 599169.9080396605 1096032.6457345625, 599149.1367578789 1096020.9581135437, 599128.357230253 1096009.2604945602, 599107.5941943158 1095998.892604914, 599086.81466669 1095985.8952504878, 599069.9354234162 1095969.0186856636, 599051.7615825878 1095952.1421208396, 598999.2602919554 1095943.9837814458)));R¹ch M­¬ng Khai;0.136484;Kinh cÊp 1;vïng
SONG_TN106_region.3;MULTIPOLYGON (((593391.8552870555 1082538.5824120054, 593358.7234846742 1082538.1824934075, 593430.3139048519 1082911.4965064232, 593541.4926234945 1083498.0171218535, 593574.8965387375 1083489.7588028105, 593391.8552870555 1082538.5824120054)));;0.0324101;;
SONG_TN106_region.4;MULTIPOLYGON (((593863.905135467 1083300.0574159774, 593792.1415525591 1080991.017414371, 593794.4009138962 1080977.2502166443, 593765.4085253516 1079828.3440731568, 593757.2204019657 1079611.0682990104, 593748.9168367595 1079571.0264494126, 593737.7684552715 1079556.4494165254, 593731.963380887 1079548.8509631685, 593716.5931271194 1079538.5930511367, 593716.3127684133 1079538.4130877678, 593701.9567534941 1079527.975212367, 593691.5175146153 1079521.4565392241, 593687.6172302633 1079514.937866081, 593663.869198691 1079542.082340902, 593698.2873527823 1079565.1076541662, 593709.7655680423 1079572.7960892075, 593718.6298506605 1079583.9338221543, 593729.7947238373 1079597.9609669696, 593748.7519198736 1080507.1459050132, 593748.7519198736 1080507.3058724522, 593748.7519198736 1080507.335866347, 593747.7541727138 1080622.9623309155, 593750.153713404 1080800.5861760972, 593758.0779697724 1080976.1004506757, 593765.4580004173 1081224.4998896907, 593772.6153932662 1081451.0237814095, 593785.7840066069 1081844.8836123836, 593797.7569725246 1082307.5794319918, 593833.4779700148 1083264.514650604, 593833.4779700148 1083264.9545610617, 593833.4779700148 1083264.9645590265, 593833.4532324818 1083297.497936952, 593828.3737923956 1083305.1063882736, 593868.0692868363 1083306.8960239985, 593863.905135467 1083300.0574159774)));Kinh Ba Rinh;0.127172;Kinh cÊp 1;vïng
SONG_TN106_region.5;MULTIPOLYGON (((585889.2501667028 1073212.8806315488, 585500.0215784 1073367.0292550437, 585419.6905632687 1073397.7330053844, 585315.6280082536 1073430.6463059776, 585311.9503616976 1073474.087463656, 585334.6264335115 1073461.1001071946, 585505.1340018635 1073388.9747880942, 585927.3459673502 1073226.3178964325, 586801.7270506505 1072900.734168056, 587082.0610191806 1072798.4849805813, 587100.8368066425 1072791.3464336118, 587585.5770094254 1072607.0239519184, 588987.9972239068 1072072.5627399476, 589111.7261175679 1072026.8020544024, 591812.7183834672 1071003.8702691996, 592986.6462525072 1070543.9738797755, 592988.1799795463 1070543.374001879, 593420.5508252055 1070376.1480402383, 593418.8604271248 1070352.0529447251, 592231.2444565535 1070814.2288701562, 591804.8188646316 1070980.1850902492, 589120.5409251202 1071995.5984058145, 587649.7131863595 1072555.7143958297, 587070.7394749622 1072773.5800499078, 585889.2501667028 1073212.8806315488)));Kªnh T©n Ph­íc;0.218406;Kinh cÊp 1;vïng
SONG_TN106_region.6;MULTIPOLYGON (((594715.5689177319 1069859.3032424976, 594681.3486639035 1069875.5499355304, 593888.7086351091 1070186.2866859662, 593661.0161365645 1070266.5003587059, 593609.5620681577 1070288.2659283872, 593491.4485944622 1070328.147810546, 593464.3692417942 1070339.5354926162, 593464.443454393 1070365.8501363469, 593477.4553966919 1070360.911141665, 593898.8015485274 1070201.0036903627, 594091.473946347 1070120.810013553, 594465.5961478995 1069989.226796935, 594721.0853875659 1069887.607481252, 594715.5689177319 1069859.3032424976)));Kªnh Nhµ Thê;0.0288647;Kinh cÊp 1;vïng
SONG_TN106_region.7;MULTIPOLYGON (((599811.047171205 1074786.9102423878, 599804.2525955052 1074725.6727071104, 599804.2525955052 1074633.8513970717, 599804.2525955052 1074552.2080153453, 599790.6387065725 1074456.967401296, 599780.4468430227 1074388.941247822, 599756.9461867792 1074298.3096956117, 599719.7326914715 1074187.9421606031, 599685.5454210204 1074105.4589498215, 599656.4046072784 1074048.3405761009, 599629.8200052682 1073983.623749023, 599614.6394059194 1073922.706148624, 599610.8628092317 1073882.1044129895, 599619.8095502929 1073790.773003233, 599625.9032292276 1073759.9092854531, 599608.4385310088 1073731.1351423466, 599596.4408275582 1073689.663583762, 599585.6717549076 1073652.4611562083, 599556.5639245429 1073562.3694941048, 599538.9013260609 1073440.5642872013, 599531.3069034643 1073402.4920366975, 599514.8646899381 1073352.9921122633, 599497.1278788574 1073318.7390843679, 599473.0417676689 1073285.7258041252, 599427.3927736464 1073252.7025259177, 599381.743779624 1073231.0969236754, 599347.5070341071 1073205.7020927195, 599338.0243131667 1073174.408462447, 599331.6915047474 1073153.512715716, 599312.066395323 1073091.495339173, 599290.5612333991 1073021.699545904, 599270.3176856525 1072940.4760787052, 599252.6303496377 1072844.0557047927, 599252.6715788591 1072806.3633769567, 599252.6715788591 1072805.983454289, 599262.8551965647 1072762.8722294536, 599275.5620426248 1072737.4973944277, 599285.7209227973 1072717.201525593, 599299.7058747234 1072690.576944949, 599314.9606866708 1072652.524690375, 599345.4373271888 1072596.7260480267, 599360.7003849806 1072561.2232745134, 599378.4949169713 1072518.112049678, 599405.1867149574 1072450.8857333998, 599436.966198874 1072376.0509657997, 599450.9676424887 1072321.5120670341, 599457.3334342851 1072284.729554008, 599459.8978918612 1072258.0849774342, 599455.3709233426 1072207.235327733, 599451.091330153 1072159.125120426, 599425.8095715416 1072039.8493986533, 599411.89058637 1071985.2805059932, 599416.986518145 1071970.0536053844, 599438.5658926675 1071951.0474740274, 599455.0658271037 1071942.1792791227, 599533.7394275316 1071921.9433980777, 599555.3105562099 1071914.3449447209, 599610.7803507888 1071896.9084938597, 599672.0717114408 1071868.7642225446, 599683.500451635 1071863.6952543184, 599720.6232426554 1071836.3708161286, 599741.897520939 1071811.7258325433, 599783.8276391841 1071730.5623531342, 599795.2646252225 1071709.0067407165, 599793.7308981835 1071691.1503753278, 599772.4483740556 1071675.9934604738, 599700.1488112685 1071664.535792649, 599608.8013481578 1071659.3868407032, 599539.2311598327 1071637.0913788797, 599523.0775508569 1071631.9224310042, 599508.5978482731 1071632.652282445, 599477.1069689068 1071619.9548669672, 599474.517773798 1071616.8055080099, 599460.4091342075 1071599.6390022023, 599458.2981980677 1071592.7004145319, 599445.5006477204 1071550.558992296, 599412.3441078063 1071618.4151803658, 599432.340280224 1071628.3231636246, 599456.8386836273 1071640.4706910306, 599471.0875025708 1071647.5192563157, 599507.22903812 1071659.5668040721, 599531.5048037274 1071665.1656644405, 599585.5480672432 1071677.6331267247, 599606.7069037067 1071681.8722638607, 599675.9142748826 1071695.709447342, 599754.2250581615 1071707.7569950987, 599751.3390126579 1071750.9182097586, 599708.7492268692 1071822.9835410696, 599695.2755172896 1071831.9617135886, 599689.0993799119 1071836.09087311, 599643.8709239486 1071858.7062698116, 599610.4752545499 1071875.3928733019, 599508.927682045 1071904.8768719195, 599420.4745102822 1071940.909537575, 599394.2774629538 1071973.682866659, 599394.3269380196 1071973.9928035722, 599394.7969511445 1071976.8122296862, 599400.8164174806 1072012.974868886, 599415.2878742199 1072085.2601554254, 599420.4827561264 1072111.244866313, 599440.140848928 1072232.4601932848, 599440.140848928 1072301.2461920942, 599413.9273099111 1072379.860190443, 599381.743779624 1072459.0840646531, 599371.3457699667 1072484.688852873, 599328.755984178 1072592.7868498391, 599273.0800434917 1072700.8848468054, 599243.584658445 1072782.7681796907, 599241.0037091804 1072856.0632606896, 599284.5994879731 1073038.3561554996, 599290.8828213266 1073064.6608012652, 599318.0941075034 1073157.6218793076, 599329.4321434103 1073202.97264829, 599363.4462511312 1073232.4466489428, 599422.3957920031 1073264.1901876375, 599467.747935631 1073298.2132623394, 599492.6833687819 1073334.4858791535, 599515.3594405958 1073384.3657262553, 599528.9650836842 1073461.4500359676, 599540.3113654355 1073549.8920338554, 599551.6411554981 1073586.1646506696, 599574.3089814677 1073654.1908041434, 599592.4498389189 1073722.2069596522, 599612.5532073125 1073764.6483208362, 599603.2024198808 1073802.0906995488, 599596.1769605407 1073862.9483121582, 599603.2024198808 1073940.1925893098, 599626.5958801485 1074015.0773467347, 599671.073964281 1074113.3773380565, 599711.363159511 1074211.1874290963, 599729.108216436 1074272.1250254253, 599758.9086977217 1074374.4741925492, 599786.7054388433 1074531.812166861, 599787.9258237991 1074581.292095365, 599787.9175779548 1074581.4320668743, 599785.3448745345 1074642.1896998344, 599785.3613662231 1074642.2196937292, 599787.8763487333 1074647.2686660255, 599784.0420311358 1074696.7485945297, 599787.8351195119 1074710.6957556254, 599785.2789077802 1074720.8436900428, 599792.8485928439 1074786.8302586682, 599802.9744896393 1074803.3368987895, 599834.0943060123 1074835.0104517296, 599849.4315764027 1074825.3624155596, 599811.047171205 1074786.9102423878)));Kªnh X©y C¸p;0.069516;Kinh cÊp 1;vïng
SONG_TN106_region.8;MULTIPOLYGON (((608154.3243633762 1079765.1369387857, 608147.0680203958 1079743.771287702, 608140.7187202879 1079839.2518529098, 608144.4046126881 1079906.168232275, 608143.1347526666 1079912.496944084, 608140.5867867791 1079917.575910275, 608139.1767474045 1080096.4594990397, 608169.6451420782 1080078.7231092304, 608164.681143812 1079941.6910017184, 608163.4112837904 1079932.8228068135, 608160.8963012801 1079912.516940014, 608163.4030379461 1079884.6226178224, 608155.8415987267 1079804.4589349073, 608154.3243633762 1079765.1369387857)));;0.00671388;;
SONG_TN106_region.9;MULTIPOLYGON (((609987.8538093396 1081717.5595288314, 609954.3839273421 1081723.0084197256, 609964.2212195873 1081747.2434867478, 609970.0262939717 1081787.9352040668, 609991.6716352486 1081879.5865487016, 610012.2697542999 1081934.985272452, 610021.076316008 1081958.6504554728, 610041.3940763533 1082054.1110247509, 610053.6391551328 1082087.2642765027, 610068.5146582427 1082114.1088123752, 610118.5751789635 1082168.0678291738, 610135.8914519851 1082202.570806193, 610140.1298159532 1082266.0778795124, 610132.3622306264 1082373.8459436356, 610106.189920831 1082529.5942415213, 610112.7288753577 1082610.8876944748, 610110.00774674 1082624.8248576056, 610117.0249602359 1082670.605539081, 610112.572204316 1082718.7557382474, 610099.0407738264 1082795.0102168696, 610103.6172174106 1082798.2195636164, 610120.677869259 1082778.5035767483, 610126.0788972728 1082753.208725442, 610123.5804064511 1082750.6392484515, 610133.2197984331 1082693.66084624, 610126.4004852005 1082536.202896349, 610152.2512070683 1082404.5696899062, 610157.2894179331 1082311.9885345318, 610156.2092123303 1082239.3233253243, 610155.2691860805 1082176.1661807778, 610151.6162770574 1082164.698514988, 610093.8458919199 1082118.2579678267, 610073.9898988552 1082084.9947384605, 610061.6788533214 1082055.650711352, 610054.5956730711 1082014.948996068, 610034.0965041514 1081933.4555838157, 610007.0913640821 1081864.5696053568, 609990.1626457424 1081800.8925666334, 609979.6244567322 1081733.486286986, 609987.8538093396 1081717.5595288314)));;0.0221864;;
SONG_TN106_region.10;MULTIPOLYGON (((612689.629430447 1080056.0077328794, 612639.816285055 1079984.2923303414, 612639.7090890792 1079991.9007816631, 612628.1154319991 1080005.70797125, 612594.7362542889 1080034.4521204617, 612567.8877852613 1080049.3290922972, 612508.0312015169 1080065.035895223, 612447.0037078824 1080074.383992445, 612337.7627626493 1080081.8324763277, 612288.0403215446 1080098.9489923106, 612271.416699444 1080108.8669735342, 612241.9048227087 1080137.1312204287, 612174.907337804 1080209.126565985, 612146.6983044675 1080231.5919932125, 612135.2035975188 1080236.5309878944, 612023.0271317165 1080274.3932811345, 611987.5864929324 1080282.4216469838, 611966.708015175 1080285.7809632048, 611928.900819078 1080290.9099192207, 611702.981177057 1080293.0094918588, 611624.1261680546 1080305.9168646005, 611584.5955904997 1080320.623871032, 611546.0957434819 1080353.1172570975, 611501.9804764984 1080426.132395078, 611481.1102445853 1080469.0136667197, 611458.0713556224 1080483.92063245, 611441.5466836533 1080486.2401603167, 611385.8295137454 1080476.6321160065, 611336.5276106998 1080462.0250892243, 611303.8081005333 1080441.289309932, 611258.3817443069 1080428.9918130517, 611217.5565691976 1080437.610058833, 611193.2808035902 1080449.9775414676, 611166.4570720954 1080474.572535228, 611118.4827499815 1080485.5303048058, 611072.7595433603 1080485.5203068408, 611048.5497445073 1080482.8408522361, 611021.6518004138 1080479.6515014193, 610997.2853305193 1080493.088766303, 610950.9931606418 1080543.418521827, 610925.2908639711 1080563.2044944498, 610898.5083616979 1080573.0025000942, 610842.8736502329 1080557.0257521148, 610794.9652948733 1080533.5705263582, 610711.5585798196 1080507.0759192584, 610681.230364499 1080496.5280662435, 610642.0626040932 1080483.3207545534, 610591.5650536247 1080463.6147656504, 610492.9282641563 1080436.9301972168, 610451.1383252643 1080430.0515973358, 610435.8175465624 1080420.8334736582, 610397.7794668251 1080434.410710051, 610375.9939461951 1080450.617411224, 610346.2264482867 1080494.658446799, 610326.4116844435 1080554.036360597, 610303.9335128927 1080718.7128411771, 610235.5094969247 1080903.0953106603, 610188.4587093719 1081006.534255963, 610184.4099998226 1081024.2506498424, 610133.2610276546 1081150.4849552158, 610024.7951917854 1081387.6466816345, 610009.2847586648 1081409.002334753, 609980.6551872691 1081463.2113006753, 609921.1531748294 1081548.703898905, 609892.5483409667 1081600.3633837667, 609876.7245657627 1081645.8341283286, 609884.030383809 1081668.7794578734, 609882.3070023512 1081680.976975104, 609882.3977066383 1081681.016966964, 609928.0054714393 1081702.3526241528, 609954.3839273421 1081723.0084197256, 609987.8538093396 1081717.5595288314, 609924.5009876136 1081679.4572844328, 609907.0033060175 1081658.9214644392, 609904.8676323448 1081628.4376693275, 609936.1771031367 1081564.1307588124, 609994.3762721777 1081481.1476497836, 610071.2357868603 1081331.1381837751, 610102.4133241434 1081275.7294620597, 610120.6448858818 1081240.4266478452, 610135.0668675555 1081206.3435853536, 610162.6244791927 1081136.917716788, 610212.783950045 1081013.22289451, 610271.6098032524 1080860.4239962825, 610311.5031979564 1080762.193990715, 610324.2347815493 1080718.9827862305, 610346.5068069927 1080569.523208294, 610369.0674369865 1080494.9583857474, 610389.7315227923 1080467.2940167494, 610406.3468990485 1080458.6357791086, 610432.1151624735 1080450.4274498902, 610479.88333848 1080464.6845478993, 610515.2992397313 1080472.7729015383, 610639.2177878111 1080507.3958541367, 610870.291082517 1080595.4779252866, 610931.1948884871 1080596.2777624822, 610953.5493723735 1080578.871305516, 610972.399372434 1080551.1269527983, 611008.367745253 1080518.613570803, 611035.0512973948 1080515.1442769677, 611142.931678319 1080515.3042444068, 611176.1212016103 1080500.5172542557, 611206.9029383671 1080475.5423378276, 611243.8525666574 1080464.6045641797, 611269.2332754004 1080464.9444949876, 611377.7485863353 1080512.0649037652, 611429.6231928013 1080524.1624413466, 611434.4552575587 1080541.9888128403, 611491.912300613 1080668.4030815826, 611505.6581230544 1080708.9748233224, 611531.2697154377 1080803.435596106, 611542.9293392722 1080882.2595517186, 611580.7777645907 1080995.7164578945, 611599.9740901117 1081047.3759427562, 611611.0235214683 1081011.3432771007, 611555.9742649484 1080854.515199001, 611546.7636568699 1080783.3296886052, 611528.8701747475 1080717.5230833488, 611516.4849166151 1080673.791984687, 611491.8463338587 1080617.623417636, 611474.5300608372 1080583.1404365466, 611452.2910187709 1080537.1497978077, 611462.6148158294 1080524.592353839, 611482.9738053962 1080519.7833327013, 611504.7180968047 1080507.3858561718, 611518.8597197722 1080493.60866048, 611534.4031362701 1080469.7035263006, 611550.4825326473 1080405.196656487, 611555.7103979309 1080393.8389683114, 611577.5948686925 1080370.0138178517, 611609.6382196266 1080346.338636866, 611649.1193221157 1080335.440855078, 611722.8783993431 1080323.7332381294, 611900.5845897656 1080320.9937957348, 611981.9545812783 1080309.3761604708, 612065.9797346542 1080290.18006778, 612123.3213358884 1080271.9037878637, 612156.5108591797 1080257.1167977126, 612185.9897525377 1080234.6613684501, 612220.7212487124 1080199.5885074292, 612272.9339347944 1080153.4978890407, 612292.6167651289 1080137.081230604, 612334.6705710384 1080123.66396165, 612394.3539920526 1080120.6545742024, 612442.6334104055 1080116.2054798026, 612482.0320544516 1080112.9261473012, 612532.917159602 1080103.43807857, 612567.4260179807 1080092.5003049222, 612590.308235902 1080083.742087632, 612620.9168099287 1080070.334816643, 612636.278817852 1080060.3868415244, 612664.3229343026 1080050.598833845, 612679.5530087173 1080050.7987931438, 612689.629430447 1080056.0077328794)));r¹ch G÷a;0.124263;R. tù nhiªn;Vïng
