'2030',tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,proportion_ago_supported,proportion_aqua_supported,dt_tsl_risk,dt_lua_caqrisk,budget_supported,total_income_lost
2030,494900.0,904000.0,114850.0,693350.0,218525.0,551975.0,0.3,0.3,107900.0,800.0,28371.0,828800.0
2030,491650.0,914625.0,118900.0,687350.0,212650.0,550775.0,0.6,0.3,104275.0,25.0,29721.0,799894.0
2030,491550.0,926450.0,115900.0,688875.0,203175.0,549350.0,0.8999999999999999,0.3,103750.0,0.0,30604.0,796800.0
2030,493900.0,906525.0,207325.0,599050.0,219850.0,550350.0,0.3,0.6,46250.0,625.0,44655.0,355750.0
2030,492025.0,919875.0,208275.0,594625.0,210375.0,552300.0,0.6,0.6,46750.0,25.0,45699.0,359062.0
2030,492100.0,932100.0,205450.0,593550.0,203975.0,549375.0,0.8999999999999999,0.6,45200.0,0.0,47084.0,347136.0
2030,496800.0,908625.0,256400.0,544700.0,217875.0,552400.0,0.3,0.8999999999999999,10400.0,850.0,54968.0,80428.0
2030,493325.0,919500.0,258900.0,540550.0,212200.0,551800.0,0.6,0.8999999999999999,9500.0,50.0,56033.0,73004.0
2030,493625.0,935050.0,255075.0,540100.0,202850.0,550175.0,0.8999999999999999,0.8999999999999999,9350.0,0.0,56842.0,71808.0
