'year','tong_luc','total_2rice_luk','total_rice_shrimp','tong_tsl','tong_bhk','total_fruit_tree_lnk','climate_maxTAS_shrimp','climate_maxPR_thuysan','climate_maxTAS_caytrong','climate_minPR_caytrong','area_shrimp_tsl_risk','area_rice_fruit_tree_risk'
year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,883150.0,747400.0,144925.0,636000.0,97300.0,489475.0,37.0,400.0,36.0,200.0,0.0,975.0
2016,846675.0,768300.0,109725.0,680350.0,96475.0,496725.0,37.0,400.0,36.0,200.0,0.0,1150.0
2017,822550.0,779300.0,80650.0,713950.0,96550.0,505250.0,37.0,400.0,36.0,200.0,200.0,48250.0
2018,805925.0,782325.0,58500.0,737975.0,96875.0,516650.0,37.0,400.0,36.0,200.0,0.0,41225.0
2019,793525.0,781625.0,42300.0,755350.0,96700.0,528750.0,37.0,400.0,36.0,200.0,145475.0,64350.0
2020,782450.0,779875.0,29475.0,768725.0,95575.0,542150.0,37.0,400.0,36.0,200.0,180525.0,75650.0
2021,773400.0,777000.0,20050.0,778475.0,94125.0,555200.0,37.0,400.0,36.0,200.0,174850.0,74400.0
2022,764325.0,774400.0,14125.0,784600.0,93150.0,567650.0,37.0,400.0,36.0,200.0,225.0,62600.0
2023,756225.0,771125.0,10650.0,788200.0,92100.0,579950.0,37.0,400.0,36.0,200.0,75.0,39300.0
2024,749900.0,768025.0,8300.0,790750.0,91100.0,590175.0,37.0,400.0,36.0,200.0,700.0,55375.0
2025,743600.0,764150.0,6675.0,792525.0,89850.0,601450.0,37.0,400.0,36.0,200.0,150.0,27300.0
2026,737825.0,760325.0,5350.0,793950.0,88600.0,612200.0,37.0,400.0,36.0,200.0,0.0,27950.0
2027,731875.0,756650.0,4275.0,795075.0,87400.0,622975.0,37.0,400.0,36.0,200.0,5650.0,72800.0
2028,725675.0,753175.0,3300.0,796100.0,86050.0,633950.0,37.0,400.0,36.0,200.0,178475.0,71750.0
2029,720300.0,750150.0,2375.0,797050.0,84600.0,643775.0,37.0,400.0,36.0,200.0,375.0,57275.0
2030,714875.0,746925.0,1700.0,797750.0,83175.0,653825.0,37.0,400.0,36.0,200.0,300.0,58400.0
2031,709450.0,743950.0,1300.0,798175.0,82100.0,663275.0,37.0,400.0,36.0,200.0,3250.0,21075.0
2032,704325.0,740625.0,975.0,798500.0,81200.0,672625.0,37.0,400.0,36.0,200.0,150200.0,65325.0
2033,699100.0,737400.0,675.0,798800.0,80225.0,682050.0,37.0,400.0,36.0,200.0,0.0,54600.0
2034,694400.0,733750.0,400.0,799075.0,79350.0,691275.0,37.0,400.0,36.0,200.0,300.0,14100.0
2035,690175.0,731050.0,200.0,799275.0,78550.0,699000.0,37.0,400.0,36.0,200.0,200.0,63675.0
2036,685775.0,727700.0,50.0,799425.0,77700.0,707600.0,37.0,400.0,36.0,200.0,4950.0,50850.0
2037,682000.0,724700.0,0.0,799475.0,76925.0,715150.0,37.0,400.0,36.0,200.0,5275.0,69450.0
2038,677850.0,721425.0,0.0,799475.0,76375.0,723125.0,37.0,400.0,36.0,200.0,175.0,67825.0
2039,674000.0,718550.0,0.0,799475.0,75625.0,730600.0,37.0,400.0,36.0,200.0,210575.0,68250.0
2040,670275.0,715225.0,0.0,799475.0,75125.0,738150.0,37.0,400.0,36.0,200.0,11800.0,67700.0
2041,666575.0,711850.0,0.0,799475.0,74600.0,745750.0,37.0,400.0,36.0,200.0,180275.0,66775.0
2042,663525.0,708775.0,0.0,799475.0,74025.0,752450.0,37.0,400.0,36.0,200.0,13200.0,68200.0
2043,660225.0,706100.0,0.0,799475.0,73200.0,759250.0,37.0,400.0,36.0,200.0,217750.0,67725.0
2044,656825.0,703425.0,0.0,799475.0,72800.0,765725.0,37.0,400.0,36.0,200.0,176300.0,67100.0
2045,653975.0,700725.0,0.0,799475.0,72100.0,771975.0,37.0,400.0,36.0,200.0,5375.0,68175.0
2046,651050.0,698000.0,0.0,799475.0,71775.0,777950.0,37.0,400.0,36.0,200.0,116325.0,67050.0
2047,648075.0,695925.0,0.0,799475.0,71300.0,783475.0,37.0,400.0,36.0,200.0,219150.0,67350.0
2048,645025.0,693200.0,0.0,799475.0,71000.0,789550.0,37.0,400.0,36.0,200.0,211600.0,65525.0
2049,642675.0,690175.0,0.0,799475.0,70425.0,795500.0,37.0,400.0,36.0,200.0,66750.0,64500.0
2050,640425.0,687875.0,0.0,799475.0,70050.0,800425.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,637650.0,685125.0,0.0,799475.0,69600.0,806400.0,37.0,400.0,36.0,200.0,0.0,0.0
