'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,0.1,3841.2007905660935,58653.09144268556,18062.347850390277,999.4971445534995,106276.227166357,1132.371510810498,2011.0119922599456,25116.302393674683,5464.4929363516185,24808.275244069406,807.1647102999973,0.0,17.227562583,10101.255945545397,210760.79991271917,26327.154886405522,247189.2107450136
2030,0.1,12490.442139021787,207433.618160706,77477.54237029266,3527.631103223611,447651.4379000729,3971.874597530996,7068.464310860895,154307.76782980666,26621.704487958283,102362.74173346758,2786.675188277149,0.0,42.208426645,33568.01194204776,919282.7479599302,92891.34834691822,1045742.1082508549
2040,0.1,20273.23444778039,353635.8682364425,136763.7049997716,6037.406132817063,790562.2856585978,6652.572395385974,12055.287242284105,306020.4679402642,48718.405375222086,177675.3876630841,4698.999079554061,0.0,61.049341276,54363.156339216905,1651670.4275817836,157121.08459180937,1863154.6685180063
2050,0.1,26775.201332435776,480230.2194149645,188567.0216886583,8262.119465793101,1092709.6420797482,8972.427640785954,16274.565657998426,452164.95674207876,68934.69626115244,244896.21785284468,6361.79336072194,0.0,90.849656282,72174.3378330507,2308770.1883096974,213295.18501326756,2594239.711155718
