'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'B1',0.2,16346.321999998125,39122.91874999751,33807.77649999733,9993.659500000753,72649.91949999466,16313.050499999683,12815.610249999956,41765.879749996624,22834.211249996293,24947.711999997868,23064.168249998896,25409.65849999869,14454.114000000367,47838.127999991986,167798.73549999067,134865.02374998532,353525.0007500527,50746.019999987664,157743.86999999022
2015,'B1',1.0,16334.44149999813,39108.21199999751,33775.597749997345,10013.558500000758,72654.42774999466,16318.715749999681,12860.10474999996,41775.43674999662,22898.976499996283,24871.533249997865,23025.95574999892,25411.68724999869,14376.97025000037,47740.88099999201,167817.1644999907,134844.4587499853,353425.61775005254,50756.25399998766,157750.80074999022
2015,'B1',0.5,16356.793249998129,39060.43074999752,33793.93249999734,10044.866250000765,72734.73974999465,16332.425999999683,12808.485249999963,41756.68999999661,22887.07199999629,24929.861999997855,22992.996749998925,25390.40724999869,14438.812750000377,47867.11549999201,167789.44374999066,134847.84174998535,353527.51450005255,50772.335999987656,157750.80074999022
2015,'B1',0.1,16366.12224999813,39003.94324999752,33777.059749997345,10004.930500000757,72675.64224999466,16307.698499999678,12770.570499999958,41857.73799999663,22783.06999999631,24973.278749997866,23098.685249998867,25365.152499998698,14447.979750000366,47817.927499992,167713.07924999067,134877.75099998535,353431.8712500524,50776.721999987654,157750.80074999022
2016,'B1',0.5,16339.487499998128,39462.88549999747,33937.673749997324,10016.761250000758,73855.89399999465,16257.810249999682,12797.866749999961,43431.61774999652,23011.4722499963,25041.135749997855,22920.577999998903,25955.776749998717,14443.48275000038,47723.91724999201,171209.8964999915,135515.51499998535,357472.44225005247,100361.91399997186,321642.2459999792
2016,'B1',0.2,16329.417749998122,39523.911499997455,33943.58324999731,9965.153000000746,73773.47199999462,16238.434749999684,12811.669249999954,43443.83099999652,22937.785499996317,25050.515749997863,22989.833499998866,25975.02799999871,14460.78075000037,47673.17649999199,171192.50899999143,135554.6169999853,357443.4160000526,100282.96599997189,321628.3844999792
2016,'B1',1.0,16328.557249998124,39501.17249999747,33912.207499997334,9987.851750000751,73766.05149999462,16244.902999999684,12852.624249999959,43455.486749996504,23029.455749996294,24988.59649999786,22954.874749998893,25977.056749998712,14380.097500000373,47608.36449999201,171222.83549999175,135524.6222499853,357378.9357500524,100339.98399997187,321642.2459999792
2016,'B1',0.1,16356.296999998129,39387.37324999748,33926.33724999733,9976.82550000075,73795.65524999463,16232.681249999678,12766.629499999957,43547.74224999652,22908.039499996325,25085.978249997865,23023.54749999885,25930.521999998717,14451.910000000367,47684.33074999199,171110.00774999167,135572.0864999853,357389.5385000524,100370.68599997186,321642.2459999792
2017,'B1',0.2,16253.208499998136,39421.854499997535,34038.422749997306,9879.187500000748,74608.91724999461,16192.275249999677,12289.735249999985,44545.82449999643,22829.346499996383,24049.29649999773,22805.47849999895,26276.016999998716,14466.31700000037,47523.00149999198,173473.28174999237,133636.48424998592,357655.88100005203,146436.8439999572,490052.5402499679
2017,'B1',0.5,16266.416249998136,39371.08474999754,34030.854749997314,9922.434250000751,74698.43524999461,16211.65074999967,12234.996749999984,44536.70149999644,22900.537749996376,24129.076249997728,22714.426249998985,26268.577999998724,14449.019000000379,47554.254999991994,173564.90699999238,133591.93599998596,357734.2115000519,146584.50599995715,490094.1247499679
2017,'B1',1.0,16239.189999998154,39411.59224999754,33999.852249997326,9894.050500000749,74594.2969999946,16200.20549999967,12336.012499999986,44545.5267499964,22910.408249996366,24065.242499997737,22719.34974999899,26281.183749998716,14382.495750000373,47447.66174999198,173580.1767499924,133528.45474998592,357579.40675005113,146524.56399995717,490094.1247499679
2017,'B1',0.1,16279.027249998135,39331.03974999755,34013.98199999732,9887.41025000075,74637.09149999463,16185.059749999673,12253.467499999992,44659.63499999643,22765.499499996396,24140.69424999774,22789.48449999895,26231.510999998733,14451.910000000367,47504.95674999198,173423.4667499924,133674.27524998592,357625.8122500515,146654.68199995713,490052.5402499679
2018,'B1',0.2,16325.974749998126,39871.18324999749,34129.67024999732,9858.929000000753,75312.25799999456,16173.053499999662,12323.529499999982,45678.05174999622,23134.987999996327,24146.269499997732,22978.767499998874,26476.713249998716,14466.31700000037,47583.54149999199,175723.56999999302,134545.4802499858,360875.7052500514,192760.31399994245,662475.7387511169
2018,'B1',1.0,16329.39349999813,39880.60824999749,34099.03424999733,9890.810250000755,75282.35774999457,16179.923249999656,12310.907749999997,45660.18774999619,23208.732499996313,24088.31249999773,22947.686499998887,26487.416249998718,14388.77175000037,47520.630249992,175766.2902499933,134444.1082499858,360754.1422500514,192818.79399994243,662517.3232511173
2018,'B1',0.5,16337.18574999813,39785.2259999975,34122.84199999733,9906.561750000748,75386.49599999457,16192.428999999653,12255.971249999993,45666.597999996215,23186.06824999632,24143.013749997725,22916.643499998896,26472.412249998724,14451.417250000377,47616.480749992,175745.592749993,134437.67774998583,360822.8647500514,192850.95799994242,662517.3232511173
2018,'B1',0.1,16353.255499998131,39719.26649999751,34107.627749997315,9872.474000000757,75336.89274999456,16166.49699999966,12216.603499999976,45743.995499996236,23080.665249996346,24208.003499997736,23014.362499998857,26440.141749998726,14455.048000000368,47581.93924999199,175620.38449999315,134489.39624998585,360714.8335000513,192922.5959999424,662482.669501117
2019,'B1',0.1,16016.585499998231,29494.24524999833,33876.722749997425,9818.129000000754,56774.25774999615,16147.700499999652,12213.603249999996,45202.686749996115,22916.867499996417,20213.82999999799,22831.90099999895,26580.436749998724,14458.186000000369,46731.33474999224,146257.60224999068,130637.0627499863,326545.1520000473,237585.23399992817,803079.8640022883
2019,'B1',0.2,15990.766749998225,29457.10149999832,33942.6252499974,9804.895750000751,56202.09374999619,16152.393499999655,12240.43274999998,44919.29449999614,22927.608999996406,20331.60024999797,22800.469499998966,26614.609999998705,14469.455000000371,46723.43924999224,145853.97549999072,130384.50349998634,325853.34750004753,237373.24399992824,802324.412252282
2019,'B1',1.0,15995.32674999823,29495.72324999832,33922.63374999741,9843.707750000758,56446.03224999616,16157.801249999644,12319.06874999999,45099.361499996114,23011.947999996384,20102.78674999798,22739.82774999899,26622.576499998704,14395.04775000037,46633.16899999225,146191.6429999907,130394.01624998629,326151.8420000469,237459.5019999282,802726.3957522854
2019,'B1',0.5,16025.476999998227,29261.423999998337,33920.12549999742,9881.982500000762,56339.64824999617,16170.306999999644,12220.92874999999,45015.95274999613,22995.185249996393,20469.43749999794,22732.373249998993,26609.56924999872,14453.815500000377,46769.57799999225,146064.7377499907,130384.34299998634,326096.22650004766,237417.10399992822,802636.2960022846
2020,'B1',0.2,14947.13274999839,29708.186249998267,30411.645999997883,9689.21725000072,54687.79524999635,15834.057249999732,12248.322999999993,44271.15424999588,21478.536749996507,20341.680249997742,22781.374249998902,26728.308499998715,14472.593000000372,44528.4164999926,139977.102999991,130438.7014999865,317600.00475003914,279720.07399991475,936205.7100033974
2020,'B1',1.0,14963.243749998397,29491.0362499983,30182.42474999792,9703.575000000725,54793.55299999635,15674.580999999744,12262.526749999983,44464.687749995865,21569.576749996497,20211.695249997745,22788.269499998896,26728.741999998714,14395.04775000037,44216.08949999265,140132.685499991,130259.05449998647,317228.9595000385,279845.8059999147,936406.7017533991
2020,'B1',0.5,15053.487499998371,29929.778249998257,30208.790249997914,9746.625750000738,55322.198249996305,15739.505499999746,12253.202499999987,44404.373249995864,21704.71949999647,20326.62899999775,22772.587499998903,26715.333249998723,14456.953500000374,44494.79099999263,141053.45299999093,130478.67149998646,318634.18400003976,279879.4319999147,937522.5525034084
2020,'B1',0.1,14940.41349999841,29451.5379999983,30224.417499997915,9679.453000000718,55224.513999996314,15750.439499999751,12159.758499999987,44256.07874999591,21515.57099999652,20087.792999997764,22837.36249999888,26689.740249998733,14458.186000000369,44295.23249999264,140363.48199999097,130050.86699998658,317275.26550003793,279845.8059999147,936954.2310034037
2021,'B1',0.2,15177.220749998356,29829.331499998243,34153.5807499974,9787.527750000743,54988.48474999635,15867.898249999673,12322.20999999998,41916.334249995525,21562.301249996486,21663.463499997666,22816.679499998885,26812.012499998713,14474.991250000372,44719.119999992574,142972.48499999085,130775.14024998645,321372.0360000413,321828.59799990134,1074924.6712545531
2021,'B1',0.1,15178.234249998357,29554.155999998256,34124.39824999741,9803.595250000748,55250.573249996334,15862.188749999666,12239.54799999998,41903.48974999553,21539.623999996482,21671.776499997668,22866.66099999887,26764.769999998727,14461.32400000037,44641.803249992576,142699.73924999085,130994.29799998642,321220.3390000409,322066.90399990126,1075617.746254559
2021,'B1',1.0,15127.516749998376,29939.41099999824,34132.72749999742,9820.33625000075,54792.82899999637,15854.672249999669,12375.20249999999,42183.68724999555,21497.678249996472,21473.84174999767,22804.216749998886,26811.52724999871,14404.461750000371,44577.708499992594,142748.20924999085,130966.10749998636,321218.1082500411,322012.8099999013,1075042.494004554
2021,'B1',0.5,15181.775249998353,30022.41974999823,34125.06699999742,9812.508250000752,55382.476999996325,15893.344749999671,12291.069749999986,42035.70849999557,21539.687249996485,21708.803749997645,22770.0742499989,26796.23749999873,14463.229500000376,44730.910499992584,143507.2484999908,130920.53724998643,322022.40250004106,322084.44799990125,1076844.4890045691
2022,'B1',0.1,15327.588999998306,41585.29824999728,34185.38349999741,9886.216000000752,76784.71749999448,15832.877749999656,12299.429749999974,47128.33224999564,22529.310249996422,24394.03474999748,22833.897249998885,26814.67299999873,14463.72225000037,44875.53174999256,180163.8212499944,136003.014999986,364065.48150004813,364631.5719998877,1257258.8422560722
2022,'B1',1.0,15309.516749998316,41732.149999997266,34193.35699999741,9893.650250000752,76728.9567499945,15832.65424999966,12390.13174999997,47097.95524999561,22700.07624999638,24312.268749997478,22826.668499998876,26859.03199999871,14404.461750000371,44899.47574999254,180298.0599999944,136060.2299999859,364280.87925004924,364720.7539998877,1256704.3822560676
2022,'B1',0.2,15320.621999998306,41737.63874999726,34179.18324999742,9874.213750000748,76742.24749999448,15837.090249999665,12345.390999999961,47116.00549999561,22599.922999996405,24419.381499997486,22832.833999998868,26864.313749998713,14477.389500000372,44965.60324999255,180277.1597499944,136080.35724998594,364346.23375004926,364514.61199988774,1256579.6287560666
2022,'B1',0.5,15338.0492499983,41659.78049999728,34203.02424999742,9926.544250000748,76809.26874999449,15868.393749999663,12376.401749999972,47081.57299999561,22633.8792499964,24363.349749997476,22772.4604999989,26848.02149999873,14465.627750000376,44974.974249992534,180321.2139999944,136027.07249998592,364346.3742500492,364807.01199988765,1258492.5157560825
2023,'B1',1.0,15586.589249998224,41850.68524999731,34254.56099999742,9894.30925000075,76925.43699999449,15824.128499999659,12591.021499999972,48409.05324999519,22696.086249996395,24299.89374999748,22809.050499998895,26901.03174999871,14410.737750000373,45741.01649999226,180975.83049999486,136712.62449998577,366452.58500005,408513.5019998737,1439780.1435075928
2023,'B1',0.2,15579.694249998218,41872.6574999973,34263.91874999741,9871.52075000075,76938.72774999449,15825.542249999662,12550.097499999973,48431.89099999519,22636.903749996407,24407.809499997482,22831.61874999887,26910.191249998712,14483.665500000374,45808.94424999226,180961.15749999482,136811.02324998577,366604.2385000502,408349.7579998738,1439676.182257592
2023,'B1',0.1,15582.292749998222,41729.34649999731,34248.81299999742,9894.14150000075,76976.43249999448,15815.276249999653,12483.85349999999,48507.847499995194,22585.263999996405,24394.158749997478,22864.64949999887,26859.81074999873,14471.656750000371,45761.56024999225,180849.89649999485,136778.9729999858,366413.543250049,408418.47199987376,1440348.4650075976
2023,'B1',0.5,15570.726999998229,41801.85174999731,34267.75474999742,9928.006250000748,77000.98374999447,15848.84799999966,12531.086249999988,48414.893249995184,22622.911999996417,24442.421749997484,22794.717999998895,26890.760999998725,14468.765750000377,45778.65549999227,181003.74974999484,136778.21074998577,366583.72950005,408653.8539998737,1441575.2077576078
2024,'B1',1.0,15287.544499998323,42045.926999997304,34453.86349999737,9816.823250000747,77079.02999999448,15804.065249999658,12404.882749999975,48029.27824999524,22609.038999996428,24386.276749997494,22992.592749998796,26925.88274999871,14410.737750000373,44879.05324999255,181567.82649999528,136782.88099998585,366245.94350004895,451288.6979998601,1623930.171009127
2024,'B1',0.5,15282.106499998323,42021.2884999973,34444.02049999738,9832.049000000756,77159.34199999447,15821.589999999662,12293.971749999988,48029.436499995245,22548.000249996425,24440.87074999748,22963.362999998804,26906.536249998724,14474.302000000378,44946.78749999254,181595.74574999494,136658.1609999859,366216.8770000487,451366.1839998601,1625704.4430091418
2024,'B1',0.2,15296.847249998315,42068.7022499973,34456.82774999737,9795.496750000744,77097.08599999448,15810.683749999665,12343.580499999973,47999.10474999526,22561.330499996435,24438.679999997486,23013.982999998778,26931.50274999871,14488.462000000372,44982.067499992525,181553.15349999495,136764.74499998585,366302.287250049,451029.9239998602,1623860.8635091265
2024,'B1',0.1,15303.207749998312,41932.958749997306,34435.125249997385,9798.496000000745,77133.56499999447,15796.205999999665,12295.218749999976,48107.79199999526,22521.452249996433,24499.735249997495,23046.452499998773,26877.98424999873,14471.656750000371,44996.10374999249,181445.43199999505,136762.1319999859,366219.8505000488,451162.96599986014,1624553.9385091322
2025,'B1',0.5,15578.115499998225,42594.46374999717,34470.097499997384,9927.925500000747,77302.29949999446,15843.11124999966,12614.708249999963,49051.42924999489,22694.68024999642,24459.924499997484,22816.643999998872,26911.555249998728,14477.440000000379,45767.70274999227,182119.92324999528,137831.65499998556,368742.39450004976,495645.777999846,1811018.8365106857
2025,'B1',0.1,15589.578499998222,42509.57299999717,34466.21049999739,9889.14000000075,77281.28774999447,15808.077499999654,12565.43799999996,49138.8364999949,22650.377499996415,24458.375499997484,22857.950999998873,26888.539499998722,14477.932750000373,45766.12724999226,181964.8442499953,137827.23299998557,368581.31800005,495325.5999998461,1809882.1935106763
2025,'B1',0.2,15581.755999998222,42659.277499997166,34488.37774999737,9868.07100000075,77248.34824999447,15819.805499999662,12660.69049999996,49060.0482499949,22713.854999996405,24437.309249997474,22840.208249998872,26935.38049999871,14493.99825000037,45802.38199999227,182076.10524999528,137905.52524998554,368807.1260000499,495259.8099998461,1809196.0492606706
2025,'B1',1.0,15585.039249998228,42649.25874999717,34485.94149999738,9895.77125000075,77221.98749999447,15819.327999999658,12664.653999999968,49047.54399999489,22764.401249996397,24423.72099999748,22818.49724999888,26931.41899999871,14410.737750000373,45716.04299999226,182087.2387499953,137891.90524998552,368718.30050004995,495575.601999846,1809265.3567606711
2026,'B1',0.2,15655.229249998201,42613.53749999723,34417.529249997395,9881.229000000745,77357.94899999446,15813.74124999966,12623.808999999985,49284.70674999478,22768.9987499964,24715.1369999975,22855.042249998864,26942.39624999871,14497.13625000037,45883.32924999228,182504.97774999528,138015.0209999856,369426.44150005095,539415.1340004343,1995376.7865122217
2026,'B1',0.1,15662.106999998201,42498.11799999722,34382.267249997414,9900.836000000747,77390.88849999447,15804.732249999652,12552.688249999992,49364.297999994786,22714.817249996406,24790.297249997508,22893.955499998858,26892.41724999872,14477.932750000373,45827.14074999228,182398.4819999953,138076.61899998563,369325.35525005095,539546.7140004395,1996069.8615122274
2026,'B1',1.0,15654.846499998208,42612.94974999722,34392.04999999741,9910.605250000744,77331.58824999447,15817.123999999658,12660.73949999998,49275.527999994774,22869.047999996375,24653.7477499975,22816.232249998884,26947.510499998705,14416.274000000372,45811.22024999227,182520.87649999568,138003.0334999856,369358.243750051,539793.7920004493,1995446.0940122223
2026,'B1',0.5,15652.417749998202,42584.213249997214,34407.46249999741,9938.373500000742,77411.90024999446,15840.38149999966,12590.958249999992,49286.72324999477,22800.17699999639,24749.9739999975,22805.205499998887,26912.294999998725,14477.440000000379,45860.18924999227,182553.56099999527,138020.65799998562,369457.52175005083,539960.4600004558,1997199.5737622369
2027,'B1',0.1,15094.172249998373,42392.33649999729,34397.310749997414,9802.356250000747,77490.95874999446,15656.85824999972,12284.891499999976,48481.799999994924,21393.214499996542,24499.59449999748,22832.73974999888,26897.034749998722,14487.346750000374,44243.79549999268,181794.23274999586,136656.4034999861,365710.6145000485,581121.6080020815,2181391.1857609414
2027,'B1',0.2,15076.570999998381,42502.0519999973,34433.952499997395,9778.88900000074,77461.55874999447,15700.520999999711,12344.86799999997,48380.278749994926,21428.99499999654,24417.927249997476,22847.585749998867,26955.68799999871,14497.13625000037,44268.097999992686,181918.12949999585,136637.47449998607,365826.0232500484,580937.3960020742,2180725.833760958
2027,'B1',0.5,15045.405749998394,42457.304749997296,34412.2464999974,9849.40550000075,77511.97049999447,15661.44999999973,12302.800249999977,48374.98524999493,21533.190749996516,24478.892749997474,22769.583499998895,26919.31074999872,14477.440000000379,44175.30374999269,182032.48074999586,136570.0189999861,365793.9862500487,581566.0560020991,2182534.7595109125
