year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,739600.0,816525.0,198525.0,561650.0,153025.0,515675.0,33.0,300.0,33.0,120.0,257950.0,73550.0
2016,601325.0,906325.0,185875.0,583750.0,179675.0,530375.0,33.0,300.0,33.0,120.0,264850.0,35975.0
2017,500600.0,970425.0,177675.0,596050.0,196500.0,546750.0,33.0,300.0,33.0,120.0,269400.0,16100.0
2018,447700.0,996000.0,169650.0,603200.0,206075.0,561250.0,33.0,300.0,33.0,120.0,271650.0,6700.0
2019,419925.0,1003275.0,164875.0,611275.0,212250.0,574850.0,33.0,300.0,33.0,120.0,278775.0,2950.0
2020,399725.0,1001100.0,159125.0,617350.0,217150.0,588450.0,33.0,300.0,33.0,120.0,280175.0,2100.0
2021,384050.0,998375.0,156425.0,620950.0,221500.0,603525.0,33.0,300.0,33.0,120.0,282025.0,1225.0
2022,373200.0,993450.0,151400.0,626975.0,225700.0,616300.0,33.0,300.0,33.0,120.0,283725.0,925.0
2023,361850.0,981000.0,150050.0,628350.0,229075.0,629325.0,33.0,300.0,33.0,120.0,279475.0,525.0
2024,351125.0,979200.0,140650.0,638000.0,232175.0,643500.0,33.0,300.0,33.0,120.0,257575.0,250.0
2025,342800.0,970650.0,145725.0,632350.0,235025.0,656750.0,33.0,300.0,33.0,120.0,282500.0,425.0
2026,334225.0,964000.0,145325.0,632550.0,238125.0,665750.0,33.0,300.0,33.0,120.0,283225.0,150.0
2027,327750.0,956575.0,142800.0,636850.0,240775.0,681150.0,33.0,300.0,33.0,120.0,286650.0,100.0
2028,320900.0,948600.0,106475.0,670100.0,242525.0,691575.0,33.0,300.0,33.0,120.0,50450.0,0.0
2029,315275.0,936825.0,140375.0,637900.0,244100.0,697075.0,33.0,300.0,33.0,120.0,289600.0,25.0
2030,310225.0,933550.0,138575.0,641550.0,245675.0,704700.0,33.0,300.0,33.0,120.0,287575.0,0.0
2031,305825.0,926075.0,138900.0,642100.0,246925.0,725775.0,33.0,300.0,33.0,120.0,290375.0,25.0
2032,301150.0,917850.0,138275.0,633475.0,248375.0,735100.0,33.0,300.0,33.0,120.0,288350.0,0.0
2033,297275.0,913125.0,138300.0,641925.0,249150.0,741000.0,33.0,300.0,33.0,120.0,288375.0,0.0
2034,293475.0,906650.0,136975.0,641625.0,250475.0,754550.0,33.0,300.0,33.0,120.0,289875.0,0.0
2035,289575.0,899350.0,137100.0,641850.0,251050.0,761425.0,33.0,300.0,33.0,120.0,285275.0,0.0
2036,286275.0,892650.0,138950.0,639825.0,251375.0,772150.0,33.0,300.0,33.0,120.0,288000.0,0.0
2037,283700.0,885675.0,139175.0,641500.0,252950.0,781375.0,33.0,300.0,33.0,120.0,287875.0,0.0
2038,279850.0,879775.0,137850.0,641775.0,253675.0,788800.0,33.0,300.0,33.0,120.0,288750.0,0.0
2039,277100.0,874575.0,137200.0,644550.0,254800.0,796275.0,33.0,300.0,33.0,120.0,289050.0,0.0
2040,274600.0,869150.0,137375.0,644150.0,255200.0,801775.0,33.0,300.0,33.0,120.0,288175.0,0.0
2041,272150.0,860900.0,138125.0,643125.0,255650.0,812500.0,33.0,300.0,33.0,120.0,292300.0,0.0
2042,269900.0,855550.0,139375.0,642100.0,256625.0,817400.0,33.0,300.0,33.0,120.0,287975.0,0.0
2043,267150.0,851975.0,137225.0,644625.0,256825.0,825525.0,33.0,300.0,33.0,120.0,290525.0,0.0
2044,265100.0,846950.0,137875.0,641950.0,257425.0,833450.0,33.0,300.0,33.0,120.0,288725.0,0.0
2045,263250.0,841775.0,137650.0,642625.0,258000.0,838775.0,33.0,300.0,33.0,120.0,288675.0,0.0
2046,260675.0,837725.0,137000.0,644200.0,258850.0,845450.0,33.0,300.0,33.0,120.0,289575.0,0.0
2047,258425.0,830800.0,135450.0,645275.0,259350.0,852975.0,33.0,300.0,33.0,120.0,274675.0,0.0
2048,256375.0,827075.0,136725.0,644300.0,260350.0,859050.0,33.0,300.0,33.0,120.0,290875.0,0.0
2049,254075.0,821325.0,135900.0,645175.0,260400.0,865450.0,33.0,300.0,33.0,120.0,287675.0,0.0
2050,251825.0,817150.0,80675.0,696475.0,261100.0,871800.0,33.0,300.0,33.0,120.0,0.0,0.0
