'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_debt_5','total_debt_34','total_wu'
2015,'B1',0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.594172512190003,0.0,0.0,0.0,0.0,9.459255695540001,0.0,10.134916816650001,19.594172512190003,19.594172512190003,0.0,13242093.749998694
2015,'B1',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.972478117740003,0.0,0.0,0.0,0.0,13.513222422200002,0.0,9.459255695540001,22.972478117740003,22.972478117740003,0.0,13234793.099998692
2015,'B1',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.242850269970003,0.0,0.6756611211100001,0.0,0.0,8.783594574430001,0.0,10.134916816650001,18.918511391080003,18.918511391080003,0.0,13244155.449998697
2015,'B1',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.621155875520003,0.0,0.0,0.0,0.0,13.513222422200002,0.0,8.107933453320001,21.621155875520003,21.621155875520003,0.0,13236984.699998695
2016,'B1',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.172580192000001,36.34688094197,0.6465725240000001,0.6756611211100001,0.0,0.0,24.30133515043,0.0,18.54035962865,42.841694779079994,42.841694779079994,0.0,13092718.29999874
2016,'B1',0.2,0.0,0.6465725240000001,0.0,0.0,0.0,0.0,0.0,8.405442812,46.10364599619,0.0,0.0,0.0,0.0,34.02901160754,0.0,21.126649724649997,55.15566133218999,55.15566133218999,0.0,13090371.999998737
2016,'B1',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.052015336,39.78336374174,0.0,0.0,0.0,0.0,33.5569706662,0.0,15.27840841154,48.835379077739994,48.835379077739994,0.0,13084319.499998737
2016,'B1',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.112297764,39.725186547519996,0.0,0.0,0.0,0.0,32.263825618199995,0.0,14.573658693319999,46.837484311519994,46.837484311519994,0.0,13086162.549998742
2017,'B1',0.2,33.97622039477253,219.16030369037924,0.0,27.314216395797526,0.0,1.332400799795,237.83354276340648,130.9863163931404,170.7706145018798,504.3137027224029,76.61304598821255,0.0,0.0,101.61976072518502,167.88250077417038,1132.7981021504336,1402.3003636497872,1370.9014511297503,31.398912520040003,13020825.349998757
2017,'B1',0.5,33.97622039477253,211.18552676750684,0.0,33.310019994875034,0.0,1.332400799795,256.48715396053626,121.7576501740629,151.8317205178552,466.9868524522459,87.94791350768263,0.0,0.0,91.3705605369375,145.23168717765543,1128.2132108547394,1364.8154585693358,1341.266274179308,23.549184390030003,13025248.349998761
2017,'B1',1.0,39.972023993850016,214.5165287669943,0.0,31.977619195080038,0.0,0.6662003998975,236.5011419636115,138.29489291611532,157.2668045173176,471.00368272752837,99.93005998462523,0.0,0.0,99.95999565281,140.56828437837288,1149.6006744338379,1390.1289544650208,1366.5797700749931,23.549184390030003,13015308.89999876
2017,'B1',0.1,34.64242079467003,197.19531836965953,0.0,29.979017995387533,0.0,1.9986011996925002,233.83634036402154,117.70156414698538,172.16954484883976,480.99668872599074,99.26385958472773,0.0,0.0,107.77664120023502,157.88949477570796,1102.1172200540316,1367.783356029978,1324.6098513149273,43.17350471505501,13016556.299998762
2018,'B1',0.2,33.97622039477253,462.354528841747,0.0,57.71349453971749,0.0,1.332400799795,481.751560251535,258.3737676629003,191.03679993115978,1026.1679775263424,76.61304598821255,0.0,0.0,116.81939979714501,334.3547382289711,2138.145657910043,2589.3197959363088,2557.9208834162623,31.398912520040003,12983819.249998763
2018,'B1',1.0,39.972023993850016,441.06353017288126,0.0,60.20552032872,0.0,0.6662003998975,507.199475911861,283.7771526048762,177.53298994659758,992.8579575314703,99.93005998462523,0.0,0.0,112.26446537772999,296.1836367817727,2194.7568087152454,2603.204910874906,2579.6557264848707,23.549184390030003,12979753.449998766
2018,'B1',0.5,33.97622039477253,458.7225059394345,0.0,68.05205215935499,0.0,1.332400799795,527.1854879087854,247.69751677030274,173.54549062065516,990.2887119297081,87.94791350768263,0.0,0.0,105.8464072721375,313.15150930597554,2169.7503834523463,2588.748300030616,2565.1991156405807,23.549184390030003,12987544.749998767
2018,'B1',0.1,34.64242079467003,442.5609205313065,0.0,61.82588081282749,0.0,1.9986011996925002,507.429843659311,258.11727747842525,196.77848429867973,994.1654554888123,99.26385958472773,0.0,0.0,122.97628027219501,331.59965559810837,2142.206807978121,2596.7827438485806,2553.609239133516,43.17350471505501,12979260.849998768
2019,'B1',0.1,220.25784531458146,7897.20922179669,170.6082199842593,125.71819836134458,12778.10535045936,1.9986011996925002,812.6740797365519,1247.6256562743904,359.16308415772517,4272.432957758176,204.31429133429447,0.0,0.0,596.8202058651957,21260.26185333973,6163.2251630292085,28090.107506374683,4649.878756903124,23440.228749472895,12958225.799998768
2019,'B1',0.2,218.80179204438647,8043.175899598216,146.91263387533448,116.86669486644965,13145.720180279604,2.1222536700925003,801.8314709732687,1368.765572334537,376.60239622565007,4191.51837920851,179.2939191268868,0.0,0.0,598.3045592563803,21605.1669756899,6299.7259640087195,28591.61119220037,4665.248341370028,23926.36285083169,12962221.29999876
2019,'B1',1.0,224.7975956434639,7980.262025280244,143.7532223941445,112.33580976835465,12964.239441507585,2.2459061404925,802.1756246752341,1280.2047089822813,356.86552822428774,4277.444282763212,219.19784339954688,0.0,0.0,606.3872707617259,21343.72072993054,6352.920408495989,28363.521988776363,4686.983184438624,23676.538804339085,12959280.899998762
2019,'B1',0.5,210.11341047111404,8116.091808529252,157.9705740594994,117.72701804251716,13099.186657517548,2.9121065403900004,848.1410164463966,1286.091008579133,352.2597059192078,4063.9802439372193,195.36790386814187,0.0,0.0,586.4559489154952,21464.47052838059,6301.194578813982,28449.84145390788,4712.809069979499,23737.032383929734,12969317.049998762
2020,'B1',0.2,789.9718907453878,16040.107959640289,2810.8082492063777,247.80299455356737,28152.196363045245,94.27579196114756,1139.030525080844,3307.3783023484607,1368.5621117148814,7391.094384495662,315.6874258806927,0.0,0.0,1812.160530650388,48543.101274029425,10956.180630769602,61656.91599864578,6941.570986174433,54715.34501248177,12617311.199998789
