'year','sc','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'B2',0.1,16312.454499998132,39029.38049999752,33788.69049999734,10017.400000000762,72742.28624999466,16364.444749999679,12821.76324999996,41805.562499996624,22836.0022499963,24917.778749997862,23068.217499998893,25418.301499998688,14406.559750000364,47864.21374999202,167827.81724999065,134813.69749998534,353528.84200005274,50784.03199998765,157792.3852499902
2016,'B2',0.1,16299.08974999813,39431.871499997476,33929.69524999733,9989.295000000755,73863.44049999466,16289.828999999681,12817.082499999959,43483.55724999651,22947.68949999632,25029.417749997858,22988.346499998872,25986.80899999871,14410.828250000368,47720.89124999201,171237.14849999166,135485.7984999853,357466.9517500526,100377.99599997186,321739.2764999792
2017,'B2',0.1,16202.412499998158,39354.74574999754,34026.014249997315,9883.075500000752,74705.98174999462,16244.070999999672,12303.920499999986,44586.61224999643,22832.23574999639,24066.21049999773,22735.53499999898,26305.88624999871,14413.966250000365,47556.90749999199,173578.64399999238,133502.00224998596,357660.66725005204,146523.10199995717,490260.4627499679
2018,'B2',0.1,16296.851249998133,39807.12024999749,34122.05824999731,9873.05100000076,75401.12149999458,16224.046249999656,12274.894499999988,45701.03799999623,23127.413499996335,24107.17574999774,22974.88224999888,26508.98074999871,14416.364500000365,47619.10849999201,175785.00649999318,134407.76924998584,360834.99775005167,192831.95199994242,662759.8995011193
2019,'B2',0.1,15986.283249998221,29173.597999998346,33971.10499999739,9837.498000000762,56892.706749996134,16201.924249999645,12217.9865,45095.50074999613,22899.555749996412,20382.441249997988,22795.30974999897,26662.683999998695,14422.640500000367,46739.81899999226,146288.28424999068,130654.35499998632,326539.23375004774,237642.25199992815,803232.3405022896
2020,'B2',0.1,15435.481999998341,29620.124499998296,30131.689249997915,9740.301250000735,55254.08899999632,15992.902499999725,12243.923249999994,44546.27249999596,21830.653999996524,20279.93849999799,22774.212499998983,26754.92074999869,14422.640500000367,45564.237999992445,140545.66624999107,130296.11624998653,319027.15050004394,281698.1599999141,937577.9985034089
2021,'B2',0.1,15712.291749998318,29921.264499998248,34117.664749997406,9865.01025000076,54850.00749999636,16187.470249999633,12311.444499999985,42070.86924999557,21959.254999996494,21576.51549999792,22786.63249999898,26822.226249998694,14422.640500000367,46192.566999992356,142552.935749991,130938.63749998642,322603.2925000439,325721.9039999001,1076095.968004563
2022,'B2',0.1,15962.721749998236,41699.781499997276,34156.23349999741,9934.134750000752,76842.95524999448,16181.046249999625,12368.462499999974,47119.35874999564,23175.714499996404,24327.86399999775,22787.745499998975,26871.389499998695,14425.038750000365,46595.7952499923,180257.4842499946,135976.05349998595,365852.44650005165,370359.6879998859,1257737.0640060762
2023,'B2',0.1,16248.641249998149,41804.78774999732,34261.4972499974,9934.348750000752,77029.90499999447,16179.296249999623,12498.580499999991,48509.3037499952,23211.962249996413,24325.753499997747,22791.461749998976,26903.858749998693,14425.038750000365,47503.95999999201,180966.4247499951,136630.93724998584,368124.43550005247,416229.93799987127,1440819.7560076015
2024,'B2',0.1,15935.77324999825,42007.90724999732,34534.68949999734,9841.717000000763,77178.73274999447,16169.234249999625,12348.208499999982,48062.542499995274,23128.309749996442,24407.68049999775,23014.460499998877,26922.032249998698,14431.314750000367,46628.85749999227,181646.9517499953,136690.61074998588,367982.60275005223,461193.74799985695,1624997.506509136
2025,'B2',0.1,16243.408749998154,42662.67474999716,34572.81149999734,9944.485000000752,77331.22074999446,16175.957749999621,12582.128499999963,49147.847249994906,23341.272499996412,24362.73774999775,22833.421499998964,26925.909999998694,14431.314750000367,47506.03274999201,182218.74299999548,137807.30149998557,370555.1907500527,507825.6999998421,1810367.3460106803
2026,'B2',0.1,16326.742749998142,42620.66174999721,34353.65274999741,9958.57925000075,77440.82149999446,16176.151999999622,12587.976499999999,49375.17224999479,23438.143749996398,24664.28899999777,22813.907249998974,26938.46199999869,14436.851000000368,47616.74674999202,182525.16799999573,137966.38349998568,371131.4117500524,554383.0900010255,1996596.5985122318
2027,'B2',0.1,15700.303249998331,42448.15149999731,34331.251999997425,9835.985250000762,77544.43124999446,16007.48574999968,12316.044499999985,48390.33424999495,22099.48124999654,24340.10424999775,22802.590499998976,26939.941499998688,14439.989000000369,45885.89074999244,181848.109999996,136445.9107499862,367196.0942500494,598048.64400275,2181966.438010927
2028,'B2',0.1,15742.558249998312,30893.299999998137,34352.31324999742,9843.29525000076,55547.10499999636,16140.045499999636,12335.429749999981,43432.96899999504,22238.261249996514,21768.092499997918,22802.211249998974,26943.819249998684,14446.26500000037,46090.24399999238,145453.4127499909,132036.71774998645,326485.66525004234,641828.2340044791,2326680.498007271
2029,'B2',0.1,15951.624249998249,42650.51249999731,34655.39399999734,9873.99725000076,77758.86749999445,16170.805999999622,12286.278749999989,49171.76299999472,23347.67049999644,24383.96424999775,23021.511249998875,26944.558999998684,14446.26500000037,46676.07174999227,183611.1167499964,137352.91124998592,370663.2132500527,686664.85000625,2514690.9532525213
2030,'B2',0.1,15974.16974999824,43007.405499997214,34453.313749997404,9855.927500000762,77858.93774999444,16168.798499999622,12337.662749999983,49139.769749994666,23428.34974999643,24332.794249997747,22829.151749998968,26945.29874999868,14446.26500000037,46553.38999999233,183876.67374999644,137338.52899998595,370777.8447500525,731124.2700080059,2703339.0374977556
2031,'B2',0.1,15917.15174999826,43253.56574999716,34684.01674999734,9918.793500000747,77954.24274999443,16168.209499999622,12828.89474999996,49824.91499999447,22889.433249996477,25420.52224999787,22830.087999998963,26945.29874999868,14451.80125000037,46727.27999999226,183993.93749999642,139342.60224998544,373086.93325005204,778079.3240098604,2891959.3987429906
2032,'B2',0.1,15922.999749998258,31211.538249998113,34443.92449999742,9850.13450000076,57737.68499999615,16158.546499999622,12303.008999999991,48411.71249999456,23434.763999996445,20489.85549999799,22825.70199999896,26945.29874999868,14454.19950000037,46460.838749992334,152292.6104999918,132565.28349998637,334189.3697500485,822208.3320116033,3044657.682739133
2033,'B2',0.1,16082.357749998224,42887.5272499973,34712.60824999734,9836.921500000766,78138.86174999442,16176.606499999618,12305.498749999986,49979.38199999436,23585.16474999642,24394.198249997746,23035.70424999887,26953.97299999868,14460.475500000372,46972.17574999222,184933.99824999677,137619.99199998585,372549.2795000528,867211.6160133807,3234948.354734326
2034,'B2',0.1,15950.777749998246,43339.34024999716,34722.13874999734,9855.927500000762,78224.63624999442,16176.204999999618,12559.886749999976,50924.05974999405,23515.587999996435,25417.598249997867,23034.242249998868,26953.97299999868,14460.475500000372,47143.015499992136,185516.37499999677,139459.27574998548,375134.8490000543,914586.2640152518,3425599.4257295094
2035,'B2',0.1,15735.863749998316,42871.93449999732,34734.06749999734,9874.933500000761,78315.17599999442,16173.28099999962,12365.440749999982,50109.89649999421,23546.17999999643,24372.268249997745,23035.70424999887,26953.97299999868,14460.475500000372,46346.87399999236,185472.63649999702,137706.57049998586,372549.1945000526,958984.2800170053,3616784.1644746796
2036,'B2',0.1,15971.245749998241,42906.31899999731,34452.28074999743,9876.395500000759,78410.48099999441,16145.557999999628,12328.890749999984,51013.90749999394,22207.51749999655,24343.02824999776,22825.40899999897,26957.512499998684,14460.475500000372,47060.22574999214,184632.6259999971,137189.9864999861,371899.02100005123,1003823.8200187762,3807005.528969874
