'year','sc','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'B2',0.1,16350.417749998127,38935.495249997526,33799.30249999734,10025.976750000758,72761.67874999465,16306.880749999676,12810.489249999968,41819.08149999662,22884.6652499963,24960.78224999786,23020.75299999892,25424.32849999869,14401.748750000366,47822.445499992,167899.01574999062,134757.02549998535,353501.6002500525,50757.71599998766,157785.4544999902
2016,'B2',0.1,16333.111999998126,39323.65424999748,33943.106999997326,10000.270000000752,73885.14674999464,16231.461999999678,12799.870749999965,43513.4494999965,23006.372499996312,25076.821249997858,22948.01349999889,25989.697999998712,14403.682250000367,47675.037999992,171302.72124999177,135453.7869999853,357454.6597500523,100335.59799997187,321725.4149999792
2017,'B2',0.1,16255.654749998137,39251.61799999756,34033.889749997325,9918.690500000748,74727.68799999461,16186.764499999672,12307.587249999995,44618.79074999642,22937.96199999637,24097.91124999775,22717.943999998985,26293.824999998713,14414.754750000366,47528.487999991994,173605.2099999924,133606.2689999859,357763.0805000517,146591.81599995715,490225.8089999679
2018,'B2',0.1,16335.089499998126,39693.4927499975,34127.53549999733,9893.52025000075,75410.98349999457,16165.277749999661,12271.561249999988,45739.299749996215,23181.86124999633,24156.84999999772,22945.220249998885,26494.521249998717,14417.892750000365,47579.33474999199,175823.6937499933,134406.9637499858,360833.1057500513,192848.03399994242,662718.3150011189
2019,'B2',0.1,16025.19799999822,29336.176249998356,33971.9822499974,9856.865750000758,56601.006999996156,16141.693749999657,12235.510749999981,45143.5727499961,22979.9509999964,20295.16024999797,22744.34224999899,26643.606999998705,14422.689250000365,46755.18449999223,146420.88149999065,130364.91474998632,326397.7562500473,237460.9639999282,803156.102252289
2020,'B2',0.1,15385.26774999834,29528.65399999831,30126.689749997924,9744.345500000734,55098.83874999633,15976.77899999972,12255.188499999986,44498.108749995925,21793.586999996514,20648.294749997945,22742.88224999899,26744.517999998694,14422.689250000365,45538.510999992446,140816.91449999105,130023.94149998653,318965.84325004293,281392.6019999142,937390.8682534073
2021,'B2',0.1,15782.351249998283,29711.37074999826,34144.77824999742,9852.807250000758,55059.921499996344,16130.822749999645,12350.735749999983,42282.25099999557,22025.736999996483,21528.203749997916,22775.45749999899,26814.961499998695,14425.827250000366,46150.01924999236,142918.14849999096,130911.76699998639,322885.22550004325,325256.98799990024,1076047.4527545625
2022,'B2',0.1,16004.776249998215,41562.95849999729,34200.411499997426,9940.527250000749,76858.80824999449,16122.53524999964,12320.102499999974,47129.65149999563,23206.65524999641,24379.781749997714,22812.673249998974,26858.5884999987,14428.225500000366,46525.95174999231,180331.5817499946,135945.04824998596,365825.69525005104,369481.02599988616,1257653.8950060755
2023,'B2',0.1,16274.325749998136,41628.34674999734,34253.301249997436,9939.065250000749,77040.99274999448,16120.785249999637,12510.90899999998,48521.40724999518,23294.845749996402,24432.908749997714,22819.98999999898,26891.057749998698,14431.363500000367,47451.632499992,181009.10099999508,136675.45199998585,368159.2990000516,414846.8859998717,1440743.5177576009
2024,'B2',0.1,15969.496749998232,41886.87824999732,34551.264999997366,9852.807250000757,77194.58574999447,16112.185249999646,12310.176749999984,48090.248249995246,23218.178999996428,24429.677749997692,22994.679499998892,26918.306999998695,14431.363500000367,46603.81024999225,181646.51449999536,136686.41174998585,367959.8500000512,459165.9539998576,1624907.4067591352
2025,'B2',0.1,16263.070749998142,42522.49574999717,34588.51049999737,9946.589250000749,77347.07374999447,16117.446749999637,12577.364749999966,49146.42649999489,23402.605249996406,24430.82949999769,22819.36199999898,26921.444999998694,14433.761750000367,47428.51049999201,182272.9062499955,137792.45124998555,370516.9815000515,505036.203999843,1810277.2462606796
2026,'B2',0.1,16341.071749998137,42492.83774999723,34431.10299999743,9956.823250000747,77461.43974999446,16116.178999999636,12598.518249999983,49372.612749994776,23499.32999999639,24762.39324999771,22822.818499998975,26925.32274999869,14433.761750000367,47540.420749992,182632.64199999583,138018.0354999856,371214.2117500511,550907.9160008882,1996499.568012231
2027,'B2',0.1,15764.1962499983,42316.600499997316,34467.81499999741,9859.805500000763,77561.50999999447,15955.90549999971,12324.792749999977,48402.25074999493,22250.442999996532,24476.504499997685,22768.645749999003,26933.07824999869,14436.899750000368,45854.8082499924,182085.982999996,136568.4042499861,367518.4475000482,593950.6580025882,2181931.7842609277
2028,'B2',0.1,15785.223749998291,30544.085249998145,34481.24624999742,9846.647500000761,55912.88674999633,16092.851249999652,12313.354249999978,43238.148499995,22214.437249996517,21724.653749997866,22819.822499998987,26940.09399999869,14440.037750000369,46075.41224999237,145240.82999999094,132173.5402499864,326353.4887500412,636933.4580042858,2326340.8912572796
2029,'B2',0.1,15953.209749998237,42537.133999997306,34625.25924999738,9858.343500000758,77771.18099999445,16110.832999999635,12336.157249999977,49224.51924999468,23428.890499996425,24427.02349999767,23004.384249998893,26943.971749998687,14440.037750000369,46645.16149999225,183628.7472499964,137363.92249998584,370660.9447500516,680692.5800060141,2514379.069502529
2030,'B2',0.1,15993.744249998224,36358.111750001895,34519.11524999741,9873.899750000754,72681.70944999754,16107.363499999637,12404.49624999998,48636.503149995,23456.27789999652,24395.753549997673,22820.38624999899,26948.25099999869,14440.037750000369,46486.050499992314,174226.96309999368,134906.45344998818,358635.64980021387,723923.9200076977,2691488.8411503793
2031,'B2',0.1,15960.118249998233,36549.31095000193,34639.12299999739,9922.145750000745,72776.87634999755,16107.620999999635,12838.860999999957,49337.0560999948,22750.58914999659,25349.37734999776,22843.055999998982,26953.04749999869,14440.037750000369,46700.518499992235,174117.75004999383,136632.76884998797,360467.22015021864,769242.4112094602,2868429.5024982397
2032,'B2',0.1,15962.195749998235,26014.92500000008,34573.42999999741,9812.783500000753,54740.99759999772,16105.355999999638,12321.559749999975,47793.844849994755,23409.658649996534,20238.44709999792,22835.237749998978,26956.18549999869,14446.31375000037,46344.449249992336,145312.0495499992,130621.42264998751,325210.9352001431,811977.8408111287,3012770.6881462457
2033,'B2',0.1,16080.955999998221,36219.964900001905,34657.47649999739,9857.292000000758,72963.05969999758,16106.014999999636,12338.267999999978,49394.279549994724,23633.069649996494,24452.883349997668,23017.67599999889,26959.323499998693,14446.31375000037,46817.754499992225,175199.1230999937,135086.58679998785,360126.57790021255,855335.2052128224,3191478.69074407
2034,'B2',0.1,15970.396249998234,36613.67055000195,34664.52399999739,9867.52600000076,73040.25674999757,16105.613499999636,12569.477999999968,50374.43249999441,23531.27389999652,25345.844149997756,23017.67599999889,26959.323499998693,14446.31375000037,47059.60224999212,175738.8705499934,136684.74254998795,362506.32885022426,900799.3116145917,3370555.4092418887
2035,'B2',0.1,15801.035749998286,36281.27115000192,34670.440999997394,9861.89200000076,73121.26599999757,16105.613499999636,12366.259999999967,49571.67119999454,23534.577149996534,24418.93614999766,23020.81399999889,26959.323499998693,14446.31375000037,46292.90999999235,175796.55129999356,135053.77109998785,360159.41515021346,943567.1976162626,3550081.2403397006
2036,'B2',0.1,15999.821999998225,36327.81795000194,34606.20424999741,9885.284000000753,73208.9465999976,16105.613499999636,12381.093999999968,50495.62694999429,22011.88614999667,24400.327449997672,22838.06399999898,26962.46149999869,14446.31375000037,47008.259749992125,174879.0476999933,134765.971899988,359669.4621002127,987042.3992179608,3728491.220687545
2037,'B2',0.1,15818.658749998285,36292.528350001914,34630.21074999741,9857.506000000756,73260.4112999976,16105.613499999636,12332.847999999973,49716.87944999442,22232.566549996634,24428.982649997663,22850.13924999897,26965.59949999869,14449.45175000037,46100.563249992374,175222.36219999354,134595.35684998802,358941.39580020995,1029360.2816196136,3907379.4227853785
2038,'B2',0.1,15815.056499998285,36285.601550001906,34624.03849999742,9877.974000000755,73303.29854999762,16105.613499999636,12370.859999999968,49895.964899994346,23600.544899996516,24382.49104999766,22858.53199999897,26965.59949999869,14449.45175000037,46199.95299999237,176387.05904999332,134924.90114998785,360535.02670021437,1071686.0588211752,4087893.578833173
2039,'B2',0.1,15514.399249998332,25935.164950000108,30775.36174999786,9781.647000000743,52613.19284999763,15932.34474999972,12302.524999999974,43893.48379999444,22158.948899996638,20568.33464999791,22832.974499998985,26965.59949999869,14452.58975000037,45676.93224999242,135677.36204999982,129855.10359998749,313726.5666500822,1114020.31562274,4221630.716983127
2040,'B2',0.1,15871.437499998277,34246.95575000266,30856.139199999932,8389.9221000005,68939.51275000138,16105.613499999636,10226.877250000716,46254.367000000384,22332.831399997944,20178.899150000776,21499.385149999565,21694.460799999808,12750.121949999977,46082.83014999279,163613.10489998834,116689.85170000259,329346.52349987254,1152915.6560225335,4389693.087580643
2041,'B2',0.1,15588.276249998326,24651.650850000617,26958.372450000163,8290.492750000505,51603.28440000008,15917.02124999972,10149.193400000728,44893.88065000008,21022.213299998068,17324.041350000432,21490.02154999957,21702.889599999802,12752.632349999978,45486.84304999286,131864.4636000021,112400.64265000162,292343.9701497252,1191683.8024223347,4520861.689778904
2042,'B2',0.1,15839.93924999828,34258.984150002674,30879.89559999994,8376.470100000497,68996.69575000138,16069.497749999668,10183.854850000715,45873.715599999945,20904.056299998065,21016.172750000922,21501.970149999568,21702.5683999998,12752.632349999978,45804.51004999284,163062.41099998832,116510.77525000279,328356.4529998646,1230268.6140221416,4688201.8762263805
2043,'B2',0.1,15535.982249998337,24711.16185000064,27016.868900000172,8277.277150000506,50123.91840000025,15946.206249999708,10155.25555000072,37789.52924999736,21157.24249999802,17249.0722000004,21493.62444999957,21702.5683999998,12752.632349999978,45207.36624999289,124074.21495000564,112227.64000000161,283911.33949969005,1268865.706421947,4811056.350724479
2044,'B2',0.1,15501.931249998346,24389.225500000564,29087.441249999938,8278.966700000505,54485.441100000295,15953.136999999711,10128.48535000072,39507.3342499976,20965.54574999807,17478.213150000473,21509.543749999568,21702.5683999998,12752.632349999978,45186.34329999293,131581.22135000292,112236.72070000162,291740.4657997162,1307343.2072217586,4941847.920122389
2045,'B2',0.1,15882.922249998279,34241.827750002696,30894.66689999995,8377.6109000005,69069.1275500014,16105.613499999636,10205.095250000724,46721.391950000194,21127.73254999799,20993.480950000885,21513.333949999564,21702.5683999998,12755.142749999979,45986.36269999278,164172.3183499877,116446.14615000281,329590.51464986935,1345845.5620215822,5110461.978419876
2046,'B2',0.1,15705.517999998307,31759.92345000222,27175.301500000158,8320.365150000503,54713.120550000305,15972.46724999969,10225.21485000073,46796.41730000014,21025.547699998075,17548.77740000048,21475.723199999567,21710.099599999798,12755.142749999979,45653.35239999283,140735.44844999665,116205.56930000277,305183.6186997918,1384317.2148213997,5254696.43051744
2047,'B2',0.1,15553.489749998318,24429.092750000575,27111.91830000014,8273.939550000507,49329.3162500002,15946.206249999706,10102.572950000713,38450.14694999741,21032.21789999799,17365.38105000039,21477.336899999576,21710.099599999798,12755.142749999979,45253.95079999289,123888.40990000605,111889.80685000168,283536.8609496876,1422718.3992212282,5377362.388615589
2048,'B2',0.1,15534.464999998338,24895.32020000066,26785.8303000002,8303.005850000503,49661.64830000027,15932.344749999722,10150.186950000721,40499.98504999833,21083.332899998048,17441.685700000453,21505.731549999568,21712.609999999793,12755.142749999979,45380.036399992874,126100.1912500058,112254.18985000155,286261.28929969517,1461044.144421052,5502850.548113753
2049,'B2',0.1,15756.285249998298,34077.824150002685,30883.29889999997,8333.414300000497,64151.07655000074,15889.298249999742,10190.772250000722,40768.55664999842,21027.88574999803,20987.357350000864,21503.099949999578,21712.609999999793,12755.142749999979,45571.86044999284,153484.87984999572,116063.50185000272,318036.6220998094,1499314.3336208833,5660188.276161435
2050,'B2',0.1,16172.773249998221,34575.52695000268,28633.65700000108,7978.383400000555,65708.88205000407,15461.724699999644,10241.447900001434,45123.34145000343,21042.918900000484,20326.742450001733,19444.160400000295,21668.253199999795,11575.372600000128,45535.099499997435,156496.26104998076,112974.94845000487,317953.1842497645,1539324.595219821,5822151.586755018
2051,'B2',0.1,16176.828649998228,34573.920950002685,28632.693400001084,7980.302000000555,65725.11145000409,15459.476299999655,10230.966700001427,45207.20165000341,21040.087300000487,20322.24565000173,19437.47440000029,21671.084799999797,11575.372600000128,45534.71729999742,156606.18944998062,112944.98385000485,318032.7658497645,1579241.8736187657,5984281.235348591
