'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,0.15,12071.0,18418.0,23057.0,7674.0,35735.0,12483.0,10733.0,29276.0,19127.0,14972.0,19194.0,20531.0,11929.0,37085.0,92616.0,105499.0,235200.0
2020,0.1,11987.0,18236.0,22945.0,7701.0,35405.0,12476.0,10698.0,29060.0,19097.0,14932.0,19241.0,20580.0,11891.0,36989.0,91608.0,105652.0,234249.0
2020,0.3,12101.0,18345.0,22955.0,7728.0,35841.0,12439.0,10652.0,29345.0,19069.0,14783.0,19227.0,20566.0,11900.0,37088.0,92502.0,105361.0,234951.0
2020,0.2,12092.0,17826.0,22945.0,7713.0,35515.0,12418.0,10705.0,29215.0,18934.0,14863.0,19253.0,20514.0,11954.0,36899.0,91460.0,105588.0,233947.0
2030,0.2,15659.0,18589.0,22988.0,7686.0,37681.0,13915.0,10676.0,31960.0,19751.0,15271.0,19399.0,21052.0,11954.0,42550.0,98595.0,105436.0,246581.0
2030,0.15,15493.0,18482.0,23371.0,7688.0,37625.0,13964.0,10715.0,31369.0,19906.0,15149.0,19384.0,21165.0,11929.0,42332.0,98392.0,105516.0,246240.0
2030,0.3,15573.0,18587.0,23220.0,7713.0,37626.0,13986.0,10654.0,31514.0,19947.0,15363.0,19380.0,21207.0,11900.0,42513.0,98549.0,105608.0,246670.0
2030,0.1,15502.0,18282.0,22934.0,7703.0,37740.0,14065.0,10678.0,31497.0,19922.0,15403.0,19438.0,21130.0,11891.0,42619.0,97969.0,105597.0,246185.0
2040,0.3,18023.0,18831.0,23150.0,7795.0,38723.0,15262.0,10715.0,32328.0,20670.0,15379.0,19375.0,21207.0,11900.0,46730.0,100988.0,105640.0,253358.0
2040,0.2,18176.0,18834.0,23110.0,7751.0,38515.0,15197.0,10661.0,32508.0,20575.0,15663.0,19430.0,21072.0,11954.0,46843.0,101070.0,105533.0,253446.0
2040,0.1,18102.0,18647.0,23094.0,7772.0,38667.0,15502.0,10709.0,32605.0,20637.0,15572.0,19406.0,21130.0,11885.0,47157.0,101145.0,105426.0,253728.0
2040,0.15,17941.0,18873.0,23271.0,7723.0,38764.0,15273.0,10735.0,32720.0,20800.0,15724.0,19369.0,21174.0,11929.0,46760.0,101892.0,105644.0,254296.0
2050,0.2,21115.0,33051.0,29151.0,8040.0,73332.0,16713.0,11360.0,50083.0,23510.0,24046.0,19706.0,21078.0,11954.0,52802.0,177417.0,112920.0,343139.0
2050,0.3,20921.0,33181.0,29151.0,8071.0,73430.0,16890.0,11354.0,49924.0,23569.0,23956.0,19666.0,21209.0,11900.0,52852.0,177464.0,112906.0,343222.0
2050,0.1,21099.0,33092.0,29151.0,8052.0,73269.0,16847.0,11382.0,50092.0,23655.0,24053.0,19687.0,21130.0,11891.0,53093.0,177415.0,112892.0,343400.0
2050,0.15,20806.0,33196.0,29151.0,8008.0,73254.0,16802.0,11403.0,50110.0,23593.0,23993.0,19643.0,21174.0,11929.0,52595.0,177571.0,112896.0,343062.0
