'year','tong_luc','total_2rice_luk','total_rice_shrimp','tong_tsl','tong_bhk','total_fruit_tree_lnk','climate_maxTAS_shrimp','climate_maxPR_thuysan','climate_maxTAS_caytrong','climate_minPR_caytrong','area_shrimp_tsl_risk','area_rice_fruit_tree_risk'
year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868750.0,795875.0,172200.0,579825.0,110825.0,470775.0,37.0,400.0,36.0,200.0,0.0,800.0
2016,848850.0,813725.0,151725.0,602025.0,111600.0,470325.0,37.0,400.0,36.0,200.0,0.0,1050.0
2017,839075.0,822050.0,135775.0,618650.0,112250.0,470450.0,37.0,400.0,36.0,200.0,75.0,47950.0
2018,833375.0,826450.0,121775.0,632900.0,113050.0,470700.0,37.0,400.0,36.0,200.0,0.0,40625.0
2019,830000.0,828800.0,110900.0,643850.0,113775.0,470925.0,37.0,400.0,36.0,200.0,126200.0,65850.0
2020,827000.0,830850.0,102600.0,652250.0,114425.0,471125.0,37.0,400.0,36.0,200.0,158625.0,75800.0
2021,824100.0,832925.0,95375.0,659575.0,114900.0,471375.0,37.0,400.0,36.0,200.0,148075.0,77825.0
2022,821425.0,834800.0,89000.0,666025.0,115300.0,471700.0,37.0,400.0,36.0,200.0,175.0,63700.0
2023,818950.0,836600.0,83775.0,671275.0,115725.0,471925.0,37.0,400.0,36.0,200.0,125.0,41475.0
2024,816900.0,837975.0,79400.0,675675.0,116175.0,472125.0,37.0,400.0,36.0,200.0,600.0,59050.0
2025,815000.0,839525.0,75600.0,679475.0,116475.0,472175.0,37.0,400.0,36.0,200.0,100.0,27925.0
2026,813350.0,840875.0,72650.0,682425.0,116625.0,472325.0,37.0,400.0,36.0,200.0,0.0,27400.0
2027,811625.0,842350.0,70225.0,684850.0,116775.0,472425.0,37.0,400.0,36.0,200.0,6000.0,72850.0
2028,809525.0,844125.0,67900.0,687175.0,116850.0,472675.0,37.0,400.0,36.0,200.0,157500.0,72000.0
2029,807375.0,846000.0,65650.0,689425.0,116975.0,472825.0,37.0,400.0,36.0,200.0,475.0,57050.0
2030,805700.0,847475.0,63650.0,691425.0,117075.0,472925.0,37.0,400.0,36.0,200.0,350.0,60400.0
2031,803400.0,849450.0,61575.0,693575.0,117100.0,473150.0,37.0,400.0,36.0,200.0,2475.0,22525.0
2032,801375.0,851275.0,59675.0,695500.0,117200.0,473225.0,37.0,400.0,36.0,200.0,132075.0,64525.0
2033,799725.0,852750.0,58000.0,697175.0,117350.0,473250.0,37.0,400.0,36.0,200.0,0.0,53825.0
2034,798525.0,853700.0,56300.0,698875.0,117500.0,473350.0,37.0,400.0,36.0,200.0,350.0,15475.0
2035,797700.0,854300.0,54625.0,700550.0,117500.0,473575.0,37.0,400.0,36.0,200.0,175.0,62275.0
2036,797025.0,854825.0,53075.0,702100.0,117550.0,473675.0,37.0,400.0,36.0,200.0,5425.0,51100.0
2037,796325.0,855425.0,52000.0,703175.0,117550.0,473775.0,37.0,400.0,36.0,200.0,5225.0,67375.0
2038,795750.0,855900.0,51075.0,704100.0,117575.0,473850.0,37.0,400.0,36.0,200.0,125.0,69000.0
2039,795350.0,856200.0,50175.0,705000.0,117575.0,473950.0,37.0,400.0,36.0,200.0,185500.0,68375.0
2040,795075.0,856450.0,49275.0,705900.0,117600.0,473950.0,37.0,400.0,36.0,200.0,4525.0,67900.0
2041,792100.0,859500.0,48325.0,706925.0,117625.0,473775.0,37.0,400.0,36.0,200.0,162225.0,68850.0
2042,789925.0,861700.0,47625.0,707625.0,117650.0,473725.0,37.0,400.0,36.0,200.0,7525.0,65575.0
2043,787925.0,863700.0,47000.0,708250.0,117675.0,473700.0,37.0,400.0,36.0,200.0,191825.0,67950.0
2044,786100.0,865425.0,46425.0,708825.0,117775.0,473700.0,37.0,400.0,36.0,200.0,158050.0,64875.0
2045,784175.0,867200.0,45675.0,709575.0,117950.0,473675.0,37.0,400.0,36.0,200.0,5375.0,64400.0
2046,782650.0,868600.0,45000.0,710250.0,118075.0,473675.0,37.0,400.0,36.0,200.0,102875.0,64450.0
2047,781150.0,869925.0,44350.0,710900.0,118225.0,473700.0,37.0,400.0,36.0,200.0,195575.0,65075.0
2048,780075.0,870900.0,43625.0,711625.0,118325.0,473700.0,37.0,400.0,36.0,200.0,184800.0,63850.0
2049,779125.0,871825.0,42875.0,712375.0,118350.0,473700.0,37.0,400.0,36.0,200.0,56475.0,63975.0
2050,778225.0,872675.0,42150.0,713100.0,118400.0,473700.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,776325.0,874650.0,41400.0,713850.0,118425.0,473600.0,37.0,400.0,36.0,200.0,0.0,0.0
