'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'B2',0.5,14401.0,25941.0,26489.0,8233.0,49608.0,13994.0,11215.0,40903.0,21155.0,19325.0,21038.0,25101.0,13888.0,41108.0,129876.0,120307.0,291291.0
2030,'B2',0.5,17625.0,38031.0,31000.0,9153.0,71685.0,16396.0,12102.0,47501.0,24450.0,26131.0,21918.0,28122.0,16094.0,46692.0,174467.0,139049.0,360208.0
2040,'B2',0.5,19698.0,38543.0,31319.0,9583.0,72849.0,18320.0,12301.0,49292.0,26037.0,26079.0,22324.0,29737.0,17382.0,50237.0,177588.0,145639.0,373464.0
