DVDD,5,6,102,101,16,12,14,34
1,0,0,0,0,0,0.67,0.33,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0.67,0.33,0
4,0,0,0,0,0,0.67,0.33,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0.67,0.33,0
8,0,0,0,0,0,0.33,0.33,0
9,0,0,0,0,0,0.67,0.33,0
10,1,1,0.67,0,0,0,0,0
11,1,1,0.67,0,0,0,0,0
12,1,1,0.67,0,0,0,0,0
13,0,0.67,0,0,0,0,0,0
14,1,1,1,0,1,1,1,0
15,0,0.67,0,0,0,0,0,0
16,0,0.67,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,1
19,0,0.33,0,1,0,0,0,0.67
20,0,0.33,0,1,0,0,0,0.67
21,0,0.33,0,1,0,0,0,0.67
22,1,1,0.67,0,0,0,0,0
23,1,1,1,0,1,1,1,0
24,1,1,0.67,0,0,0,0,0
25,1,1,0.67,0,0,0,0,0
26,0,0.67,0,0,0,0,0,0
27,0,0.67,0,0,0,0,0,0
28,0,0.67,0,0,0,0,0,0
29,0,0.67,0,0,0,0,0,0
30,0.67,1,1,0,1,1,1,0
31,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,1
33,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,1
35,0,0.33,0,0.67,0,0,0,1
36,1,1,0.67,0,0,0,0,0
37,1,1,0.67,0,0,0,0,0
38,0,0.33,0,1,0,0,0,0.67
39,0,0.33,0,1,0,0,0,0.67
40,0.67,1,1,0,1,1,1,0
41,1,1,1,0,1,1,1,0
42,0.67,1,0.67,0,0,0,0,0
43,0.67,1,0.67,0,0,0,0,0
44,0.67,1,0.67,0,0,0,0,0
45,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,1
48,0,0.33,0,1,0,0,0,0.67
49,0,0.33,0,1,0,0,0,0.67
50,0,0.33,0,1,0,0,0,0.67
51,1,1,0.67,0,0,0,0,0
52,0.67,1,0.67,0,0,0,0,0
53,0.67,1,0.67,0,0,0,0,0
54,0.67,1,1,0,1,1,1,0
55,1,1,0.67,0,0,0,0,0
56,0,0.67,0,0,0,0,0,0
57,1,1,1,0,1,1,1,0
58,0.67,0.67,0.67,0,1,0.67,0.67,0
59,0,0,0,0,0,0,0,0.67
60,0.67,0.67,0.67,0,0,0,0,0
61,0.67,0.67,0.67,0,0,0,0,0
62,0,0,0,0,0,0,0,0.67
63,0,0,0,0,0,0,0,0.67
64,0.33,0.33,0.33,0,1,0.33,0.33,0
65,0.33,0.33,0.33,0,1,0.33,0.33,0
66,0.33,0.33,0.33,0,0,0,0,0
67,0,0,0,0,0,0,0,0.33
68,0,0.33,0,0.67,0,0,0,0.33
69,0.33,0.33,0.33,0,1,0.33,0.33,0
70,0.33,0.33,0.33,0,0,0,0,0
