'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2029,'B2',0.2,1914.452767990853,37129.44340966896,3172.630379049049,427.5864982135218,64037.27804600593,311.9420762236351,2470.0274232950546,13655.4140192944,5625.9989533647195,15918.899587190586,851.514887325867,0.0,0.0,5266.071587998768,113462.10358081719,26138.62996163734,145515.18804749634,228174.4999998376
2030,'B2',0.5,2027.1386073577582,37552.12681692163,2973.0962662915244,465.0046998415224,65210.61717850371,275.61225914891975,2681.1571636722115,14078.139877550142,5950.014036729842,15903.846042338064,968.7550284093569,0.0,0.0,5533.137093999754,114845.98709187025,27090.19914930898,148085.50797662602,227675.0999998371
2030,'B2',1.0,2082.0999371380894,37476.29009200095,3275.536220384563,464.48420979898737,64843.645375498985,348.47522152367,2653.867160327423,14582.85271545732,5967.599226529779,16116.865721461429,960.6546325126573,0.0,0.0,5748.166108586136,115222.6798615528,27220.862265373657,148772.37051249106,227669.69999983697
2030,'B2',0.1,2062.4798018530837,36648.22941473115,3320.2237680332646,458.6735084213312,64398.9889567691,341.14144985514,2686.578508433618,14209.177881783431,6051.3720117590565,15661.02847039809,930.5835543963724,0.0,4.850186225845001,5833.089058638976,113309.71395538529,27015.786700513665,146773.32751252133,227688.69999983718
2030,'B2',0.2,2096.6561534418584,37200.547169845064,3201.5162816205566,470.54501998652285,64037.27804600593,311.9420762236351,2697.4113230246126,14112.403811258455,5773.913508977436,16354.410118268162,947.060565062362,0.0,0.0,5820.468303186849,113593.20113864151,27141.63171471824,147203.6840735755,227664.39999983722
2031,'B2',0.5,2188.914938532778,37552.12681692163,2973.0962662915244,480.30786630402184,65210.61717850371,275.61225914891975,2681.1571636722115,14301.85759678753,6792.735837512805,15903.846042338064,1054.7442494843588,0.0,0.0,5917.3138718479595,115560.80871383676,27320.708988227103,149415.01621534847,227131.49999983684
2031,'B2',0.2,2264.2622623168786,37200.547169845064,3201.5162816205566,488.03435308652223,64037.27804600593,311.9420762236351,2697.4113230246126,14345.594919258338,6560.785182074144,16354.410118268162,1023.5763973748593,0.0,0.0,6254.431811253176,114201.61045653751,27374.32772027386,148485.35812894892,227123.99999983687
2031,'B2',1.0,2245.333712738109,37476.29009200095,3275.536220384563,487.07459838648657,64843.645375498985,348.47522152367,2653.867160327423,14824.788490007199,6783.853407894614,16116.865721461429,1054.6597979251587,0.0,0.0,6167.46172449521,115886.11713701529,27469.543435650652,150110.38979799466,227121.29999983672
2031,'B2',0.1,2227.1710218781036,36648.22941473115,3320.2237680332646,476.89156373383054,64398.9889567691,341.87017206764,2687.307230646118,14446.741323058312,6886.759866463395,15661.02847039809,1016.5727754713694,0.0,4.850186225845001,6255.2995633980545,114003.21573737479,27236.776426715653,148116.6347493273,227162.39999983704
2032,'B2',0.2,2437.146466149927,48465.00279371467,3227.948990471064,550.3243552293357,82511.54665113967,324.89284285884514,2968.580238760118,16108.876802121422,6783.833120218596,20144.57859051905,1120.0200648023558,0.0,0.0,6820.967547986704,143964.32205364562,33150.67010677548,184642.75091576745,226648.29999983695
2032,'B2',0.5,2368.228720194328,48857.48632232824,2996.671384996031,562.7842214252553,83128.0028183232,301.5137924193398,2965.093624086514,16104.037585045355,7007.302616197474,19666.015594198165,1144.7583390833554,0.0,0.0,6484.564006117986,144911.4221931839,33018.49496091365,185101.8950180813,226635.5999998366
2032,'B2',1.0,2412.502736279156,49005.4304233778,3299.82573662557,556.5085758942996,83881.27232926455,354.950604841275,2933.5630410118274,16557.882454380815,7020.703926678096,19904.13079807721,1156.818645644655,0.0,0.0,6734.043266717843,146355.54313523552,33341.981535956074,187083.58927185176,226629.09999983653
2032,'B2',0.1,2393.6256478826504,47721.94972126598,3343.798886737771,539.8959634131439,82976.86369498455,341.87017206764,2952.623549622312,16114.989843277704,7109.991026564275,19521.89498356263,1109.444455216366,0.0,4.850186225845001,6852.691810668393,143626.55551908704,32959.97856258164,184131.7981306041,226741.9999998372
2033,'B2',0.5,2482.3890487763574,49043.7847726518,2996.671384996031,602.7053179232526,83128.0028183232,301.5137924193398,3175.905028400568,16445.81820067728,7083.6429586234935,20057.52248792325,1145.4587091973553,0.0,0.0,6809.535739014065,145014.37659994207,33952.08832287466,186463.41451970825,226185.59999983635
2033,'B2',1.0,2533.666766001187,49195.931094385356,3299.82573662557,599.2311528482967,83881.27232926455,354.950604841275,3151.378146465883,16880.75307693406,7113.85315184012,20289.33436077631,1156.818645644655,0.0,0.0,7047.1087076759195,146466.2016132477,34291.68341053912,188457.0150654168,226183.4999998363
2033,'B2',0.2,2558.310495871958,48643.597172784255,3227.948990471064,597.2491528673324,82511.54665113967,324.89284285884514,3173.0883120481703,16429.646314333386,6860.173462644616,20555.695847436087,1120.7204349163558,0.0,0.0,7134.03298894478,144084.7857132538,34077.25976759649,186002.8696771664,226212.99999983702
2033,'B2',0.1,2503.5837557806785,47897.742619879566,3343.798886737771,591.7233518491404,82976.86369498455,341.87017206764,3171.8393953043683,16451.867868111614,7180.728408078293,19884.68670261378,1110.8451954443658,0.0,4.850186225845001,7167.157991854472,143730.21029595917,33870.45971078074,185460.40023687278,226341.09999983816
2034,'B2',0.2,2713.0084975219143,48643.597172784255,3227.948990471064,646.7525133953347,82511.54665113967,325.5803895328451,3292.7214333241363,16429.646314333386,7041.016033232321,20556.383394110086,1122.0955282643558,0.0,0.0,7371.677430224637,144084.7857132538,34347.042567054414,186510.29691789648,225783.69999983662
2034,'B2',0.5,2640.5247837963125,49043.7847726518,2996.671384996031,648.0833984072547,83128.0028183232,301.5137924193398,3299.663429720533,16447.193294025277,7260.360249167197,20057.52248792325,1146.1462558713554,0.0,0.0,7067.207201589882,145014.37659994207,34200.46900768862,186969.46666709037,225721.69999983578
2034,'B2',0.1,2655.5315707346354,47897.742619879566,3343.798886737771,634.3512456371424,82976.86369498455,341.87017206764,3284.5970498403362,16455.305601481607,7364.453416986931,19884.68670261378,1110.8451954443658,0.0,4.850186225845001,7438.756723410205,143730.21029595917,34087.12508084074,185954.89634242235,225979.3999998386
2034,'B2',1.0,2679.4266608891458,49195.931094385356,3299.82573662557,643.9216866582988,83881.27232926455,354.950604841275,3272.386361089849,16881.440623608058,7264.223249396927,20290.709454124306,1158.193738992655,0.0,0.0,7270.958131600793,146466.2016132477,34526.86845692213,188922.28153965826,225720.19999983578
2035,'B2',0.2,2954.034996913857,48786.727755055836,3227.948990471064,697.3883325953312,82511.54665113967,325.5803895328451,3508.092450988085,16824.605704094356,7166.939174137264,20937.16475449502,1122.0955282643558,0.0,0.0,7926.187307706121,144186.73249590985,35242.4137164947,188062.1247274853,225344.09999983673
2035,'B2',0.5,2868.7235423242582,49214.5962694193,2996.671384996031,687.9169095112519,83128.0028183232,301.5137924193398,3502.2067065204847,16848.904126346264,7356.447176824782,20422.775530420146,1146.8214001273554,0.0,0.0,7579.72826921601,145117.67367111018,35083.64427185982,188474.57965703157,225265.89999983567
2035,'B2',0.1,2891.1569160785793,48049.65007747912,3343.798886737771,675.5350452531395,82976.86369498455,342.54531632364,3452.7079695842963,16879.296194250648,7451.13161372164,20188.501617814527,1110.8451954443658,0.0,4.850186225845001,7985.121581158568,143817.30390498327,34859.53339836667,187366.8827136959,225590.69999983904
