climat_code,Nam,thang,tmax_avg,tmax_max,pre_min
1,2030,10,31.47,35.03,123.3
1,2030,11,31.2,33.72,13.2
1,2030,12,30.6,33.73,0
1,2031,1,30.73,33.03,0
1,2031,2,31.75,33.91,0
1,2031,3,33.16,35.52,0
1,2031,4,34.74,39.07,0
1,2031,5,34.27,38.05,0
1,2031,6,32.73,35.71,0
1,2031,7,31.72,34.47,75.9
1,2031,8,31.63,33.98,102.3
1,2031,9,31.45,33.6,127.8
1,2031,10,31.69,33.83,124.2
1,2031,11,31.52,33.4,23.7
1,2031,12,30.62,32.84,0
1,2032,1,30.93,32.98,0
1,2032,2,31.84,34.05,0
1,2032,3,33.6,35.61,0
1,2032,4,34.58,38.86,0
1,2032,5,34.62,38.6,0
1,2032,6,32.76,34.63,0
1,2032,7,32.23,33.78,54
1,2032,8,31.76,34.65,117.6
1,2032,9,31.72,33.16,48
1,2032,10,31.7,33.58,108.6
1,2032,11,31.87,34.44,0
1,2032,12,30.75,33.68,0
1,2033,1,30.93,34.33,0
1,2033,2,32.26,33.94,0
1,2033,3,33.55,36.05,0
1,2033,4,34.83,38.24,0.6
1,2033,5,34.7,37.73,25.5
1,2033,6,33.07,35.11,91.8
1,2033,7,32.27,35.75,83.1
1,2033,8,31.58,34.37,98.7
1,2033,9,31.76,33,99.9
1,2033,10,31.63,32.64,114
1,2033,11,31.81,33.49,0
1,2033,12,30.77,34.43,0
1,2034,1,30.97,32.35,0
1,2034,2,32.03,33.5,0
1,2034,3,33.58,35.5,0
1,2034,4,34.77,39.23,0.3
1,2034,5,34.35,38.09,27.9
1,2034,6,32.88,34.69,67.8
1,2034,7,32.29,34.26,60.9
1,2034,8,31.47,32.89,95.4
1,2034,9,31.54,33.43,82.2
1,2034,10,31.53,32.8,87
1,2034,11,31.52,34.13,0
1,2034,12,30.68,33.27,0.9
1,2035,1,30.99,32.7,0
1,2035,2,31.9,35.09,0
1,2035,3,33.61,36.23,0
1,2035,4,34.98,40.57,0
1,2035,5,34.2,39.18,0
1,2035,6,32.69,35.97,83.7
1,2035,7,31.79,33.66,47.7
1,2035,8,31.84,34.11,66.6
1,2035,9,31.75,33.12,72.9
1,2035,10,31.91,34.03,19.2
1,2035,11,31.81,33.52,20.1
1,2035,12,30.59,33.25,0.3
1,2036,1,30.8,33.23,0
1,2036,2,31.83,35.32,0
1,2036,3,33.36,35.54,0
1,2036,4,34.72,39.67,0
1,2036,5,34,37.65,32.1
1,2036,6,33.06,35.9,27.6
1,2036,7,32.27,34.34,0
1,2036,8,31.89,34.2,118.8
1,2036,9,31.51,33.6,135.9
1,2036,10,32,33.69,168.3
1,2036,11,31.71,33.36,0
1,2036,12,30.76,32.75,0.3
1,2037,1,31.22,33.76,0
1,2037,2,32.2,34.93,0
1,2037,3,33.58,36.58,0
1,2037,4,35.05,39.37,0
1,2037,5,34.16,39.05,13.5
1,2037,6,32.89,35.09,53.7
1,2037,7,32.35,35.01,24.9
1,2037,8,31.76,32.98,112.5
1,2037,9,31.71,33.72,101.1
1,2037,10,31.65,34.51,107.1
1,2037,11,31.31,33.24,27
1,2037,12,31.1,33.88,0
1,2038,1,31.12,33.46,0
1,2038,2,32.39,34.46,0
1,2038,3,33.68,35.99,0
1,2038,4,34.96,39.64,0
1,2038,5,34.25,38.68,55.8
1,2038,6,32.68,34.24,30.3
1,2038,7,32.06,33.1,57.9
1,2038,8,31.37,33.77,67.5
1,2038,9,31.64,34.22,128.1
1,2038,10,31.7,34.54,68.7
1,2038,11,32,34.22,0
1,2038,12,30.77,33.72,0
1,2039,1,31.26,33.57,0
1,2039,2,32.05,33.26,0
1,2039,3,33.88,35.8,0
1,2039,4,34.98,38.88,0
1,2039,5,34.51,39.28,36.6
1,2039,6,32.89,35.36,0
1,2039,7,32.27,33.46,104.7
1,2039,8,31.69,33.67,59.4
1,2039,9,31.88,33.06,54.9
1,2039,10,31.94,34.36,31.2
1,2039,11,31.6,34.25,46.5
1,2039,12,30.69,33.08,0
1,2040,1,31.25,34.57,0
1,2040,2,32.11,33.81,0
1,2040,3,33.52,36.43,0
1,2040,4,35.12,39.48,0
1,2040,5,34.7,40.22,0
1,2040,6,33.1,35.34,49.8
1,2040,7,32.46,34.17,60.6
1,2040,8,31.84,34.08,52.8
1,2040,9,31.82,34.4,101.7
1,2040,10,32.06,34.44,115.5
1,2040,11,31.52,33.3,0
1,2040,12,30.8,32.54,0.6
1,2041,1,31,32.67,0
1,2041,2,32.04,33.89,0
1,2041,3,33.23,35.35,0
1,2041,4,34.91,39.28,0.6
1,2041,5,34.43,38.09,25.2
1,2041,6,32.91,34.27,73.8
1,2041,7,32.23,33.42,67.2
1,2041,8,31.96,33.38,50.7
1,2041,9,31.51,32.77,138.9
1,2041,10,32.04,32.97,128.4
1,2041,11,31.76,33.7,19.2
1,2041,12,30.68,32.33,0.6
1,2042,1,31.17,33.24,0
1,2042,2,32.21,34.16,0
1,2042,3,33.4,35.43,0
1,2042,4,34.9,40.45,0
1,2042,5,34.68,39.51,9.9
1,2042,6,33.21,35.78,84.9
1,2042,7,32.42,34.47,50.1
1,2042,8,31.61,33.53,80.7
1,2042,9,31.6,33.25,29.4
1,2042,10,31.68,33.91,152.4
1,2042,11,31.38,33.23,49.5
1,2042,12,30.51,32.79,0.3
1,2043,1,31.18,34.12,0
1,2043,2,32.03,35.45,0
1,2043,3,33.81,36.28,0
1,2043,4,34.86,39.95,0.3
1,2043,5,34.38,38.77,13.5
1,2043,6,33.12,35.47,22.2
1,2043,7,32.14,34.3,69.9
1,2043,8,32.02,34,98.7
1,2043,9,31.76,34.68,58.5
1,2043,10,31.97,33.17,140.1
1,2043,11,31.65,33.13,29.7
1,2043,12,30.85,33.01,0.3
1,2044,1,31.15,33.12,0
1,2044,2,32.12,35.6,0
1,2044,3,33.86,37.09,0
1,2044,4,35.06,40.25,0
1,2044,5,34.2,38.42,25.5
1,2044,6,32.97,34.48,100.8
1,2044,7,32.35,34.56,69.6
1,2044,8,31.97,33.71,72.9
1,2044,9,31.8,33.41,111.6
1,2044,10,31.73,33.42,135.3
1,2044,11,31.82,33.45,0
1,2044,12,30.75,33.05,0.6
1,2045,1,31.18,33.53,0
